time,rov_id,message_index,position_x,position_y,position_z,t_sent_us,t_received_us,t_sent_sec,t_received_sec,tof_sec,azimuth_deg,elevation_deg
1700000000.010363,1,0,0.0,0.0,11.891935314224245,1699999999999947,1700000000010363,1699999999.9999468,1700000000.0103629,0.010416030883789062,63.28773166363831,44.6710559638658
1700000005.0076876,1,0,0.0,0.0,12.441719813126547,1700000005000087,1700000005007688,1700000005.000087,1700000005.0076878,0.0076007843017578125,148.42220969057223,74.6196337704589
1700000010.010434,1,0,0.0,0.0,12.460435315673552,1700000010000044,1700000010010434,1700000010.0000439,1700000010.010434,0.010390043258666992,205.0656223489507,47.19534673469396
1700000015.013906,1,0,0.0,0.0,13.514741345196748,1700000015000010,1700000015013906,1700000015.00001,1700000015.013906,0.013895988464355469,202.57397577562296,34.66240336309775
1700000020.016343,1,0,0.0,0.0,13.337580408907655,1700000020000965,1700000020016343,1700000020.0009649,1700000020.0163429,0.015377998352050781,191.63225549696074,29.925766650249148
1700000025.0185153,1,0,0.0,0.0,13.752878592101887,1700000025000322,1700000025018515,1700000025.0003219,1700000025.0185149,0.01819300651550293,171.88819070160068,25.71019273324618
1700000030.0216274,1,0,0.0,0.0,13.721589734893632,1700000030000304,1700000030021628,1700000030.000304,1700000030.021628,0.02132391929626465,150.1603195928028,23.87121349927026
1700000035.0256622,1,0,0.0,0.0,14.553358104180193,1700000034999807,1700000035025662,1700000034.999807,1700000035.025662,0.025855064392089844,136.7178700789807,20.607780824908886
1700000040.029314,1,0,0.0,0.0,14.613090174314424,1700000039999774,1700000040029314,1700000039.999774,1700000040.029314,0.029540061950683594,127.267948974881,18.428695784401256
1700000045.031097,1,0,0.0,0.0,15.251849512054903,1700000044999354,1700000045031097,1700000044.999354,1700000045.031097,0.03174304962158203,119.50578073766494,17.99719298267412
1700000050.030127,1,0,0.0,0.0,15.538774752760865,1700000049999978,1700000050030127,1700000049.9999778,1700000050.0301268,0.030148983001708984,115.77247310456863,18.12519769405281
1700000055.0264215,1,0,0.0,0.0,15.421127190619451,1700000055000309,1700000055026422,1700000055.000309,1700000055.026422,0.026113033294677734,107.47433954426732,20.053773747664646
1700000060.020968,1,0,0.0,0.0,16.27301487719879,1700000060000097,1700000060020968,1700000060.000097,1700000060.020968,0.02087092399597168,100.81078203437939,28.538450874762237
1700000065.015726,1,0,0.0,0.0,16.316596203445705,1700000064999616,1700000065015726,1700000064.999616,1700000065.0157259,0.016109943389892578,84.8779628879564,40.595066392668365
1700000070.013239,1,0,0.0,0.0,16.51282829758462,1700000070000774,1700000070013239,1700000070.000774,1700000070.013239,0.01246500015258789,51.075225159180164,49.520785294768345
1700000075.0141168,1,0,0.0,0.0,16.865469300037276,1700000075000308,1700000075014117,1700000075.000308,1700000075.014117,0.013808965682983398,20.836824373524458,46.363470656332886
