estimator,experiment,scenario,platform,sigma_a,tdma_interval,packet_loss_prob,init_range_scale,rmse,ate,final_error,mean_nees,converged
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,0.0,1,3.148814742772034,3.148814742772034,2.4509105368049715,3.7233255945125414,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,0.0,1,1.7377324665453624,1.7377324665453624,0.9917158101572542,3.0777921583688284,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,5.0,0.0,1,1.1646075274140777,1.1646075274140777,0.439726511984407,3.1951723192378547,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,5.0,0.0,1,1.6915683256306164,1.6915683256306164,1.3360816851613928,3.056349075298398,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,5.0,0.0,1,1.1332831228756386,1.1332831228756386,0.4806738993229589,3.200989556699353,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,5.0,0.0,1,1.6830404801277246,1.6830404801277246,1.3498697057957505,3.0641443551675733,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,0.1,1,2.3581440286243893,2.3581440286243893,1.0426442354046512,4.014980209022878,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,0.1,1,1.7958247865136,1.7958247865136,0.8736936020179448,3.0702586913619365,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,5.0,0.1,1,1.7560373935586275,1.7560373935586275,0.8209524097615782,3.082181777969413,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,5.0,0.1,1,1.786427856878774,1.786427856878774,0.86679063989387,3.058142301202132,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,5.0,0.1,1,1.6955337959424706,1.6955337959424706,0.6474655286114975,3.2345781514370184,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,5.0,0.1,1,1.7575919782977183,1.7575919782977183,0.934709804186574,3.0242642419678463,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,0.3,1,2.866672427485429,2.866672427485429,0.6364253296489234,3.3518955146970195,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,0.3,1,1.819974751562618,1.819974751562618,0.8734079846381515,3.0582452810902283,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,5.0,0.3,1,1.488583999322569,1.488583999322569,0.9933604809107112,3.010737918037582,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,5.0,0.3,1,1.797631680803996,1.797631680803996,0.7225599162902463,3.056727979774433,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,5.0,0.3,1,1.5889512003594617,1.5889512003594617,0.6951527002876842,3.1696292195740434,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,5.0,0.3,1,1.857574146222168,1.857574146222168,1.0252132805827323,3.0184415605140513,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,0.5,1,3.032702622856076,3.032702622856076,3.339256344369408,3.104781057043964,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,0.5,1,1.8220430486463073,1.8220430486463073,1.2182208909240633,3.066327150894504,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,5.0,0.5,1,2.572421265578046,2.572421265578046,1.713544653503382,3.2752324973022264,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,5.0,0.5,1,1.9470134408912696,1.9470134408912696,1.2499912851741373,3.0554912751897216,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,5.0,0.5,1,2.5698862486568075,2.5698862486568075,1.706475826833496,3.272043411514501,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,5.0,0.5,1,1.9576319240797289,1.9576319240797289,1.2808272180874043,3.0459463057990366,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,0.7,1,9.25182538219886,9.25182538219886,2.3054323919721744,4.102502486373852,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,0.7,1,1.7839949190097004,1.7839949190097004,1.0762636283511486,3.035928199011377,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,5.0,0.7,1,5.358180364426252,5.358180364426252,2.048108328248152,3.061154231630129,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,5.0,0.7,1,1.801323257552031,1.801323257552031,0.9422764272942316,3.032705548197991,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,5.0,0.7,1,5.001404114389787,5.001404114389787,1.666376866576123,3.069486338657789,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,5.0,0.7,1,1.7744065940079794,1.7744065940079794,1.0002534365744344,3.0416282055765773,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ROV,0.02,5.0,0.9,1,7.537022888127768,7.537022888127768,4.912443320051428,10.550942177047231,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 1: Bearing-only,ASV,0.02,5.0,0.9,1,1.8125332743998652,1.8125332743998652,1.246390449591667,3.038451566923004,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ROV,0.02,5.0,0.9,1,6.286607967045829,6.286607967045829,0.5500101367234891,19.334629537636793,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 2: Bearing + range,ASV,0.02,5.0,0.9,1,1.7872844753143553,1.7872844753143553,0.8828879077398353,3.047320474057591,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ROV,0.02,5.0,0.9,1,5.965384700654668,5.965384700654668,1.1703601592808066,20.120339738854973,True
FGO,exp4_packet_loss_sweep,FGO - Scenario 3: Bearing + range + depth,ASV,0.02,5.0,0.9,1,1.7186023793052938,1.7186023793052938,0.7230344204946083,3.086282437723902,True
