time,rov_id,t_sent,t_received,x,y,z,channels,rssi,azimuth,elevation
1700000000.0,1,1700000000000000,1700000000036278,0.0,0.0,5.178484426528234,0,array('h'),179.8527828407163,4.6147191538401815
1700000001.0,1,1700000001000000,1700000001036646,0.0,0.0,5.095941200664447,0,array('h'),181.57094670682207,3.267884387909216
1700000002.0,1,1700000002000000,1700000002036522,0.0,0.0,5.591404583207331,0,array('h'),181.86897642992795,3.988310220097641
1700000003.0,1,1700000003000000,1700000003035902,0.0,0.0,5.823512670857746,0,array('h'),183.6403726178315,4.266457708960016
1700000004.0,1,1700000004000000,1700000004035892,0.0,0.0,5.801410587514963,0,array('h'),186.43901489452122,4.438157222690453
1700000005.0,1,1700000005000000,1700000005035194,0.0,0.0,5.1852238683442105,0,array('h'),186.3344102981638,3.352359135346301
1700000006.0,1,1700000006000000,1700000006034784,0.0,0.0,5.563279590732124,0,array('h'),185.13669204199627,5.110734022479267
1700000007.0,1,1700000007000000,1700000007034322,0.0,0.0,5.588214661956879,0,array('h'),188.34592398709947,5.318880896839542
1700000008.0,1,1700000008000000,1700000008034306,0.0,0.0,5.426911195057843,0,array('h'),190.94112412732645,5.440947421896857
1700000009.0,1,1700000009000000,1700000009033916,0.0,0.0,5.715822670841712,0,array('h'),191.99981087606008,5.824425492381512
1700000010.0,1,1700000010000000,1700000010033310,0.0,0.0,5.8174190069041565,0,array('h'),195.38359175741883,5.135439250987806
1700000011.0,1,1700000011000000,1700000011032802,0.0,0.0,6.022450438373448,0,array('h'),193.99132451277003,4.105423509560415
1700000012.0,1,1700000012000000,1700000012032236,0.0,0.0,5.7441170876319205,0,array('h'),196.33912568358784,6.216823514658901
1700000013.0,1,1700000013000000,1700000013032434,0.0,0.0,5.774945227670926,0,array('h'),197.25649834129146,6.894435325453823
1700000014.0,1,1700000014000000,1700000014031318,0.0,0.0,6.441016043604778,0,array('h'),198.62611022832746,5.316089316899673
1700000015.0,1,1700000015000000,1700000015031017,0.0,0.0,6.040389376193634,0,array('h'),201.55284746003295,5.564536130660653
1700000016.0,1,1700000016000000,1700000016029628,0.0,0.0,6.240120261084411,0,array('h'),200.85055133583955,5.750218634116112
1700000017.0,1,1700000017000000,1700000017030154,0.0,0.0,6.299003463047598,0,array('h'),203.6083872298079,7.648875420514347
