time,rov_id,x,y,z,vx,vy,vz
1.700000001,1,0.12534477189624468,-0.42889842215448143,5.015723671095035,0.0,0.0,0.0
1.700000002,1,0.22269948634006254,0.17906554239941946,5.300184953729355,0.004597854291532842,0.0013163461966804871,0.030055338501161825
1.700000003,1,0.6257820212540706,0.14766728753113467,5.521396509341695,0.03944292717649902,-0.0004566200877253808,0.06627407386438032
1.700000004,1,0.997876167445545,-0.17654432008359214,5.646063394603373,0.07748068271442143,-0.021897736666062227,0.07992157376160287
1.7000000050000001,1,1.4134057455577662,0.04721457821366806,5.454129004816875,0.13879580791933344,0.0036339187531194625,0.0038755160161659252
1.700000006,1,1.8258208166496446,0.7764405680086037,5.514224975560378,0.19294934491867524,0.08790369869707468,0.017292709395493582
1.700000007,1,2.314038610606254,0.9748538984207342,5.575264367401513,0.24741395448736064,0.10378500570488135,0.027207644828024773
1.700000008,1,2.611114655553831,0.7898295939041036,5.569397941058235,0.2542786397336381,0.0672866782099957,0.020092640183957004
1.700000009,1,2.8639641670097764,0.791273077548285,5.663389097649368,0.2488950473045928,0.06252649501668855,0.03626442466381892
1.7000000100000001,1,3.338057594520044,0.3811002787547095,5.748351472601398,0.28651277365201044,0.011238541494824311,0.045276542868925414
1.7000000110000002,1,3.622590313726748,0.5732031501134407,5.816694510517885,0.2882719352559284,0.0397532320451045,0.04977364972682382
1.700000012,1,3.959476589658994,0.5603371995120674,5.846800263446073,0.2952067293035829,0.03438873765981862,0.04606509516074513
1.700000013,1,3.961490831822087,0.5470315993608851,5.894617402459075,0.25640356589754787,0.03152439132552338,0.04665722746126275
1.700000014,1,4.414226327581599,0.725906058641594,6.073416516154891,0.28316302573002305,0.05221289031378921,0.07029273375972589
1.700000015,1,4.814515060214853,0.559430945157702,6.101605254986484,0.29741811852010147,0.026545669733587095,0.06207723881924642
1.7000000160000002,1,5.374550788303761,0.9868024242032046,6.162733031495138,0.3343405323043346,0.07564879714846894,0.06128565474114566
1.700000017,1,5.653071460921128,0.9669900607145052,6.274230314458997,0.32652896169368306,0.06484279577234942,0.0710621605069149
1.700000018,1,6.304483998854158,0.8127143316014592,6.473319791896798,0.36593534495026186,0.042603533387098644,0.09496296892179902
1.700000019,1,6.470257930723594,1.457215198040334,6.596341457736659,0.3383436561540929,0.09277777170011671,0.10019664186464622
1.70000002,1,6.749436458773444,1.5328864735310277,6.712673354821086,0.3298708387456862,0.08863368936708821,0.1036475530947317
1.7000000210000001,1,6.882430851933264,1.8407149520757067,6.5587380300457,0.3074880166384429,0.11240243411343201,0.054491931771324276
1.700000022,1,7.030057958373495,2.302261623474532,6.839985997799597,0.2895997343639792,0.15098460544281972,0.09699313651095663
1.700000023,1,7.27732222606397,2.073127109162005,6.889653671896769,0.2810575630642879,0.10502719995518642,0.08802907832983847
1.700000024,1,7.637521449348052,2.3611046637635056,7.0013347897971965,0.2915473327865956,0.12396037612849521,0.09146694575483735
1.700000025,1,7.695643035942242,2.362029123972695,6.827182343014655,0.26103995028405913,0.10590973827866036,0.04218662355433026
1.700000026,1,8.087240883023835,2.446796374834244,7.033477285642966,0.2772611571111849,0.10160179078523845,0.07239719556598324
1.7000000270000002,1,8.368927309449447,2.374469836687253,7.086803366905186,0.276209006040309,0.08334667368424122,0.06838993142479802
1.700000028,1,8.739255005472648,2.3837614696664606,7.351895792164069,0.28765412693969356,0.07622185129662086,0.1051180441092191
1.700000029,1,9.006187246505498,2.4380037642116434,7.590481952406734,0.2849033665003911,0.07892787160008605,0.13099105594161536
1.70000003,1,9.33724450924014,2.6292188288821006,7.661268412959033,0.29567166502481673,0.08626932603319197,0.11799254539831061
1.700000031,1,9.837372140421543,2.645478128525688,7.810576665615763,0.3233462507312802,0.07684081461289072,0.12400559245607307
1.7000000320000002,1,10.315584296693997,2.6850997246556627,7.872498795952794,0.3397278665022127,0.07434506387253086,0.11241385970739655
1.700000033,1,10.490544130358133,2.392416931791602,7.945866431021686,0.3136009951651069,0.03152944761642567,0.10707369961972583
1.7000000339999999,1,10.866883400475194,2.6699016041582317,8.042705188362625,0.3203539732517419,0.06596285740783786,0.10498472453506974
1.700000035,1,11.159310940068437,2.8669615649036606,8.095728983648163,0.3161762650393377,0.08293922687488192,0.0946203581201425
1.700000036,1,11.365689631132074,3.060738577838747,8.241078772192735,0.30166667143983217,0.09665949411825332,0.10491356512226442
1.7000000370000001,1,11.821767011545264,3.179362947402857,8.28610955698951,0.32075485987164853,0.10027991827419226,0.09143471602608469
1.700000038,1,12.260285450863003,3.570983496084823,8.337632138062313,0.3351881555398178,0.13882862725780018,0.0823010880866987
1.700000039,1,12.645789068227751,3.617535839201258,8.38820935100808,0.33696064265088355,0.12970136760403,0.07578075566991442
1.70000004,1,13.114755227907018,3.6635661896638703,8.313803009136757,0.3599749600167348,0.11545755550076973,0.04776746061347893
1.700000041,1,13.43684541067911,3.654367893019558,8.260771768351201,0.3552762877912528,0.09966549412675389,0.030377629958577828
1.700000042,1,13.750351691696567,3.777905073490605,8.265373455676885,0.34846964732598756,0.10261473960518457,0.02446426631833731
1.7000000430000002,1,14.012268906754395,3.649768027467075,8.395379762147915,0.3402300631672665,0.07034609287990198,0.043717719193851264
1.700000044,1,14.599902364670516,3.683435104407447,8.507012373381865,0.37176681849741994,0.06622472000649336,0.05656870836176132
1.700000045,1,15.032440872350925,3.6631137619144143,8.66911151041267,0.3795027231436118,0.05544689880823669,0.07567129965351044
1.700000046,1,15.420492160981498,3.7859320313076243,8.708888508432539,0.3813469906654644,0.06477933793702496,0.06956433574417273
1.700000047,1,15.791345116586813,3.993141516429431,8.731101810528406,0.37777395902455596,0.08376967877627028,0.05793285712173231
1.7000000480000002,1,16.174891400897547,4.299706564485804,8.821529948032142,0.37232982925284597,0.11405096441414739,0.06438948224489335
1.700000049,1,16.373044805614207,4.484495467695016,8.844521265323,0.35648316297358396,0.12113360907385205,0.06001101552801078
1.70000005,1,16.50941494718402,4.394580284774439,9.086340450627423,0.33013199600715837,0.08931491826038966,0.09606713281046736
1.700000051,1,16.44550381704875,4.366176008727474,9.263048572527925,0.29342621895524057,0.06752115693183258,0.11236534402944484
1.700000052,1,16.889892136682878,4.569114913266092,9.21583137379716,0.31070248961480107,0.08716567852610575,0.07908883513941828
1.7000000530000001,1,17.3775010440688,4.541614917435007,9.37019023733929,0.3361517175557827,0.06936645889587029,0.08990200450859967
1.7000000540000002,1,17.69298544060718,4.526813077654188,9.560470431096615,0.3258418319584115,0.05708317333346303,0.10806238022919196
1.700000055,1,18.220319832239717,4.428903988153559,9.646191504542568,0.3505175362692603,0.035060909169413096,0.10191255419976514
1.700000056,1,18.501238793562088,4.542361135861873,9.694275987844133,0.34372327269800707,0.046944394864621715,0.09053366242845465
1.700000057,1,18.947459963421167,4.5717687906995765,9.634340370803434,0.35825324277369774,0.04431996931318388,0.06012649613939776
1.700000058,1,19.27456182592788,4.7144069526048655,9.551465867791878,0.3542768452236809,0.05929085528275914,0.03129457061728179
1.7000000590000002,1,19.818319666307946,4.7714478675136816,9.777992913542436,0.37278724765853966,0.05748133515097832,0.07360915674743278
1.70000006,1,20.241542416174923,4.998672034210375,9.926068938982821,0.37513913839793633,0.0801527621093074,0.08848270843484407
1.700000061,1,20.355907984324016,5.171897193204834,9.860840680713702,0.33690734024183533,0.09118522623763489,0.05869122385193085
1.700000062,1,20.850708347380603,4.969852224062533,10.103367938103789,0.36628758638570447,0.05114561131875286,0.09291465802804888
1.700000063,1,21.31778265221488,4.974089290247444,10.241732152010366,0.37686916476345544,0.04261012138685119,0.1017263319590588
1.7000000640000001,1,21.432747869360536,4.953893335885267,10.42616806066117,0.34091106585980807,0.03463924723178122,0.119780821439505
1.700000065,1,21.708086466890716,4.9224516029956735,10.447556126330548,0.3315818807009168,0.022479020641236035,0.09973082038931255
1.700000066,1,22.102244088162504,4.876007805999669,10.600663914902663,0.34004427873911314,0.010525263908919212,0.11033096503294323
1.700000067,1,22.534514413626766,4.596653028697595,10.60731789188473,0.3545362376349569,-0.03282185222461323,0.0885750345078608
1.700000068,1,22.571594639586774,4.369641792471584,10.762088128417222,0.3144351198103033,-0.05748301089214415,0.10237769868299733
1.7000000690000001,1,22.650611440147987,4.297292644935803,10.885083330275283,0.28675283626473574,-0.05029997709818124,0.10805983688684978
1.7000000700000002,1,22.930491567776436,4.324979650445484,10.853486004582125,0.28383174614588697,-0.042018578091690274,0.08063654597247846
1.700000071,1,23.273177395707112,4.254993272728033,10.872530971664494,0.29226024766416636,-0.047458863634735206,0.07000193418403415
1.700000072,1,23.582588063190947,3.9843730165018334,10.962189384433001,0.2971736642546038,-0.07721800998885861,0.07421430944814855
1.700000073,1,23.906942483233905,3.8284091031348533,11.025315608601657,0.3003215170205896,-0.08973866296747574,0.06932771410055756
1.700000074,1,24.45165097346038,3.797595831875582,11.076910645397382,0.3341110811746399,-0.08114538719319175,0.06708215791344868
1.7000000750000002,1,24.794752286583424,3.6054038374234296,11.253856492610415,0.3356295511499603,-0.0972647809718218,0.08854802441515937
1.700000076,1,25.098846830147725,3.480191525913869,11.3763911940816,0.331949039313068,-0.10195633125368142,0.09409254386349002
1.7000000769999999,1,25.44553982191357,3.2701418937024993,11.45187626327159,0.3337955866617162,-0.1155335088595893,0.09006718495770452
