time,x,y,z,yaw,surge,sway,yaw_rate,gyro_bias_x,gyro_bias_y,gyro_bias_z,accel_bias_x,accel_bias_y,accel_bias_z
1.700000002,54.87789333935407,2.818444524997642,-0.027660707682860164,2.0348128406622124,-0.0909886745725308,3.0834035575817667,0.25005947282876584,-9.066763214309785e-09,5.3093717877426605e-08,3.6939756595722746e-09,-1.715186018668364e-06,-2.158332032096593e-07,-1.083257363352138e-06
1.700000003,55.03003274253652,3.256971697788903,-0.9153775462025897,2.062556912852192,0.07572144566123329,1.7505710569307986,0.24992902947308546,4.827499437372666e-06,1.0209190550387711e-05,1.9021997941746538e-06,0.00016382466101960653,-6.159949876629797e-05,-0.00036972947055105993
1.700000004,55.26208240730261,5.213701192033008,-1.426135051007751,2.164857062382286,0.15462503477886475,2.1882526180389226,0.24999999228234934,-1.963277186991225e-05,-5.371552079577488e-05,3.0311307401040214e-06,0.0001303031133532868,-8.664898358168958e-05,-0.0028837384813493023
1.7000000050000001,54.48405604507425,6.429728803847515,-1.1291116059549862,2.1868409694504196,-0.49996154620820044,1.2495874844253145,0.24998701089245973,-6.957005085353354e-05,-0.00011586960997381004,6.219813006190217e-06,2.7366526654148008e-05,-0.00019642985976441475,-0.005006630420215999
1.700000006,54.13477366286793,7.36620303635592,-0.4973847624295191,2.2285570713697025,-0.38168734318415626,0.5164362691749416,0.24998683441524053,-7.393655332243682e-05,-0.00014346996508032486,3.2476198201661666e-06,-0.00025971332893223633,0.0001487572831083085,-0.007523212032989427
1.700000007,53.6985745422143,8.705295555329748,-0.4113623557847218,2.2900363033695883,-0.40694396960254875,1.0026693545853498,0.2500251948927104,-3.7912561610070486e-05,-9.021079377974752e-05,-2.91470604613424e-07,-0.0006510998548240902,0.0005547367199615876,-0.010091786962233801
1.700000008,53.20097638814551,9.463560482760847,-0.19631116111886904,2.3280595420273213,-0.4226317266272549,0.7175745473747973,0.25002604286993646,-3.0255120696976706e-05,-8.804502575472099e-05,6.18539962719603e-06,-0.0007449067536562881,0.00059514193230993,-0.012002276031707804
1.700000009,52.2513115126851,11.328061718942088,0.09191925008750007,2.3779054450161414,-0.9055357779339841,1.6925088725230673,0.24999360768558632,-1.2671177743352213e-05,-3.109832897745035e-05,6.665824017990996e-06,-0.000865583438107469,0.0007221341125261772,-0.014234635359834305
1.7000000100000001,52.01596693943916,12.481256181201568,-0.04920360967384339,2.3718245080932268,-0.3722778979359227,1.3052395889919017,0.24994128215819064,-2.7013975628835004e-05,-9.619845257919426e-05,7.693603005129425e-06,5.0484498850205664e-05,-9.239500574328768e-05,0.0004047434053203944
1.7000000110000002,51.11819194356954,13.187477285809694,0.15112885561530545,2.2273676105235887,-0.5918104878341337,0.7404866950873622,0.24991135548817658,-4.001512795808486e-05,-0.00011409828388149592,1.4451880396756858e-05,-4.4176595497902324e-05,-9.242950060318028e-05,-0.003050763931374034
1.700000012,50.28476330027645,13.940484352553701,-0.1963470502614065,2.1853461399231056,-0.7831499118017862,0.7488248478849513,0.24998694405199304,-2.0159630030861657e-05,-0.0001004752301232194,1.989343150353262e-05,4.481229817583174e-05,-0.00019293877777387065,0.00037760391118838105
1.700000013,49.28338478549093,15.026871035601951,-0.2453840230305719,2.2188746646896074,-1.0002193037514582,1.0138985537930096,0.2499553566307656,-1.1166359579486986e-05,-8.328545328208289e-05,2.0432895155668418e-05,7.425083059177067e-06,-0.00015980145655308082,-0.000810179818163645
1.700000014,49.37577075108497,16.11316473535874,-0.26646160471852864,2.1677349886895727,-0.18085913230285666,1.184526865999803,0.24997014709090576,2.306845939909081e-05,-0.0001111362959571177,2.8209750624573762e-05,5.473786658040425e-05,-7.993090601813218e-05,-0.0011983917634374956
1.700000015,48.26158021772878,16.8786326678753,-0.17700826118324733,2.1750918137368807,-0.8423225826282588,0.8740663080342425,0.24991600847913467,-1.2888974692894103e-05,-9.549381156710138e-05,3.360267059362663e-05,7.301258380160666e-05,-0.00019426634866711998,-0.004889118902410864
