time,rov_id,message_index,position_x,position_y,position_z,t_sent_us,t_received_us,t_sent_sec,t_received_sec,tof_sec,azimuth_deg,elevation_deg
1700000000.1491392,1,0,0.0,0.0,8.132978110688542,1700000000000809,1700000000149139,1700000000.000809,1700000000.149139,0.1483299732208252,26.418005906895345,2.4042508984513553
1700000060.0871103,1,0,0.0,0.0,11.188547246950954,1700000059999742,1700000060087110,1700000059.999742,1700000060.0871098,0.08736777305603027,32.872949655135635,3.491799787512503
1700000120.0347774,1,0,0.0,0.0,14.70822554661216,1700000119999937,1700000120034778,1700000119.9999368,1700000120.0347779,0.034841060638427734,0.29615190731035235,13.877361836331964
1700000180.0866122,1,0,0.0,0.0,16.90303111976959,1700000179999480,1700000180086612,1700000179.99948,1700000180.086612,0.08713197708129883,293.09247216750185,6.900268242352102
1700000240.125892,1,0,0.0,0.0,19.84543570844108,1700000239999276,1700000240125892,1700000239.999276,1700000240.125892,0.1266160011291504,268.9979362825999,5.683212521911449
1700000300.1596124,1,0,0.0,0.0,22.51284186513696,1700000299999249,1700000300159612,1700000299.999249,1700000300.159612,0.16036295890808105,245.87352502384448,3.979193880314866
