time,rov_id,t_sent,t_received,x,y,z,channels,rssi,azimuth,elevation
1700000000.0,1,1700000000000000,1700000000036807,0.0,0.0,4.927956876149497,0,array('h'),179.74690459722,5.091103181068916
1700000005.0,1,1700000005000000,1700000005035273,0.0,0.0,5.471290516166587,0,array('h'),186.86220206167255,3.1900209640730237
1700000010.0,1,1700000010000000,1700000010033346,0.0,0.0,5.661441381293356,0,array('h'),191.90577215382427,4.976344445876076
1700000015.0,1,1700000015000000,1700000015030895,0.0,0.0,6.5437092697612025,0,array('h'),199.91501863485175,6.191993362933335
1700000020.0,1,1700000020000000,1700000020027022,0.0,0.0,6.607576433563231,0,array('h'),210.24184202272906,7.498837809602708
1700000025.0,1,1700000025000000,1700000025024410,0.0,0.0,7.069838234755899,0,array('h'),216.33965083041502,7.0494905927518765
1700000030.0,1,1700000030000000,1700000030020956,0.0,0.0,7.2386295568287276,0,array('h'),221.6968192757704,12.105639246497336
1700000035.0,1,1700000035000000,1700000035017930,0.0,0.0,7.987863590548516,0,array('h'),236.46737468019163,15.446960633192047
1700000040.0,1,1700000040000000,1700000040014624,0.0,0.0,8.228276747377016,0,array('h'),253.36703405781165,20.063862292995573
1700000045.0,1,1700000045000000,1700000045012271,0.0,0.0,8.861355708090816,0,array('h'),273.3303165392178,26.825876142467298
1700000050.0,1,1700000050000000,1700000050010018,0.0,0.0,9.267279941593769,0,array('h'),306.0389159414042,31.79737020020167
1700000055.0,1,1700000055000000,1700000055009708,0.0,0.0,9.411617385852564,0,array('h'),336.027800368023,31.55229884785251
1700000060.0,1,1700000060000000,1700000060011395,0.0,0.0,10.211137896913302,0,array('h'),6.78223573247941,31.65574297992377
1700000065.0,1,1700000065000000,1700000065013899,0.0,0.0,10.48127979216216,0,array('h'),24.020658367155562,28.842116962013552
1700000070.0,1,1700000070000000,1700000070014726,0.0,0.0,10.863313051839643,0,array('h'),37.77631754375018,23.224449958654606
1700000075.0,1,1700000075000000,1700000075016911,0.0,0.0,11.360338561514917,0,array('h'),51.905291536337664,21.714004572630643
1700000080.0,1,1700000080000000,1700000080018318,0.0,0.0,11.769266063858545,0,array('h'),58.52912672640565,20.85642365186291
1700000085.0,1,1700000085000000,1700000085019989,0.0,0.0,12.080284224674243,0,array('h'),70.42039272530864,23.567342883699148
1700000090.0,1,1700000090000000,1700000090020242,0.0,0.0,12.721318096255134,0,array('h'),82.56172179942389,24.212486519312332
