time,rov_id,message_index,position_x,position_y,position_z,t_sent_us,t_received_us,t_sent_sec,t_received_sec,tof_sec,azimuth_deg,elevation_deg
1700000000.1491392,1,0,0.0,0.0,7.459676571121226,1699999999999968,1700000000149139,1699999999.9999678,1700000000.149139,0.1491711139678955,26.418005906895345,2.4042508984513553
1700000005.1439362,1,0,0.0,0.0,8.658438168801892,1700000005000052,1700000005143936,1700000005.000052,1700000005.143936,0.14388394355773926,27.213063956499887,1.074124419184448
1700000010.138737,1,0,0.0,0.0,7.208328954805168,1700000010000026,1700000010138737,1700000010.000026,1700000010.138737,0.13871097564697266,26.59586766020261,1.816602393476683
1700000015.1335437,1,0,0.0,0.0,10.949097415866511,1700000015000006,1700000015133544,1700000015.000006,1700000015.133544,0.13353800773620605,27.462224773305795,2.1229451499493193
1700000020.1283565,1,0,0.0,0.0,8.55186044193423,1700000020000579,1700000020128356,1700000020.0005789,1700000020.128356,0.127777099609375,29.368859360491818,2.3299445315422664
1700000025.1231766,1,0,0.0,0.0,9.142583248431727,1700000025000193,1700000025123176,1700000025.0001929,1700000025.1231759,0.12298297882080078,28.388571915238217,1.2876962325418746
1700000030.1180046,1,0,0.0,0.0,7.532277461530438,1700000030000183,1700000030118004,1700000030.0001829,1700000030.1180038,0.11782097816467285,26.335342994462902,3.099240140689703
1700000035.1128416,1,0,0.0,0.0,10.275292011981348,1700000034999884,1700000035112842,1700000034.999884,1700000035.1128418,0.11295795440673828,28.71377041384254,3.3718191127989736
1700000040.1076891,1,0,0.0,0.0,9.202149985747608,1700000039999864,1700000040107689,1700000039.9998639,1700000040.107689,0.10782504081726074,30.508262252174312,3.5715632189908204
1700000045.1025486,1,0,0.0,0.0,11.074001488653597,1700000044999612,1700000045102548,1700000044.9996119,1700000045.102548,0.1029360294342041,30.802801741480383,4.048366981200781
1700000050.097422,1,0,0.0,0.0,11.242192537478228,1700000049999987,1700000050097422,1700000049.999987,1700000050.097422,0.09743499755859375,33.46682070378354,3.4712822262180745
1700000055.0923114,1,0,0.0,0.0,9.44848266697171,1700000055000186,1700000055092312,1700000055.000186,1700000055.0923119,0.09212589263916016,31.408735499569758,2.5753319968412463
1700000060.0872202,1,0,0.0,0.0,12.568645797479725,1700000060000058,1700000060087220,1700000060.000058,1700000060.08722,0.08716201782226562,33.15645458419719,4.847386537309729
1700000065.0821514,1,0,0.0,0.0,11.718469309398678,1700000064999770,1700000065082152,1700000064.99977,1700000065.082152,0.0823819637298584,33.55417828189844,5.717734159696326
1700000070.0771096,1,0,0.0,0.0,11.707478054532283,1700000070000464,1700000070077110,1700000070.000464,1700000070.0771098,0.0766458511352539,34.503093245988474,4.371067503413947
1700000075.0721006,1,0,0.0,0.0,12.558928674649342,1700000075000184,1700000075072101,1700000075.0001838,1700000075.0721009,0.07191705703735352,37.13169151541993,4.89876786259281
1700000080.0671318,1,0,0.0,0.0,12.74964423977905,1700000080000137,1700000080067132,1700000080.0001369,1700000080.067132,0.06699514389038086,36.28427732612725,5.422199872397342
1700000085.0622125,1,0,0.0,0.0,12.206039743449265,1700000084999656,1700000085062212,1700000084.999656,1700000085.062212,0.06255602836608887,39.0898432380677,7.730993260096067
1700000090.057026,1,0,0.0,0.0,14.13755307785846,1700000089999728,1700000090057026,1700000089.999728,1700000090.057026,0.05729794502258301,41.97336519293559,8.644479490301482
1700000095.0511858,1,0,0.0,0.0,13.84449746793384,1700000094999792,1700000095051186,1700000094.9997919,1700000095.0511858,0.051393985748291016,37.774197380470646,8.347614434518896
1700000100.045382,1,0,0.0,0.0,14.171372267011307,1700000099999788,1700000100045382,1700000099.9997878,1700000100.045382,0.045594215393066406,37.149658057129926,10.385038467022778
1700000105.0405855,1,0,0.0,0.0,13.914957676914607,1700000105000140,1700000105040586,1700000105.00014,1700000105.040586,0.04044604301452637,29.662105119578097,8.56249328059213
1700000110.0375721,1,0,0.0,0.0,10.843377286339823,1700000109999906,1700000110037572,1700000109.9999058,1700000110.037572,0.03766608238220215,19.58959389288321,14.789292953105447
1700000115.035701,1,0,0.0,0.0,13.940293779051103,1700000114999768,1700000115035701,1700000114.999768,1700000115.035701,0.03593301773071289,12.8789763598361,13.268496061041782
1700000120.0350173,1,0,0.0,0.0,13.279145346101302,1700000119999998,1700000120035017,1700000119.9999979,1700000120.035017,0.0350191593170166,359.93784783268643,13.178728249021841
1700000125.0355887,1,0,0.0,0.0,12.178114452126543,1700000124999880,1700000125035589,1700000124.9998798,1700000125.035589,0.03570914268493652,349.1861916103618,14.133923564181188
1700000130.0373583,1,0,0.0,0.0,13.724756386066867,1700000129999848,1700000130037358,1700000129.999848,1700000130.0373578,0.037509918212890625,339.6917939491266,14.007428953524949
1700000135.0401678,1,0,0.0,0.0,14.465159558200812,1700000135000448,1700000135040168,1700000135.000448,1700000135.0401678,0.03971982002258301,330.2571808643807,12.441988214105798
1700000140.0438175,1,0,0.0,0.0,16.284531577069703,1700000139999995,1700000140043818,1700000139.999995,1700000140.043818,0.0438230037689209,322.3454589428904,13.250335535578543
1700000145.048117,1,0,0.0,0.0,16.340323602650273,1700000144999946,1700000145048117,1700000144.9999459,1700000145.048117,0.048171043395996094,314.5130778972466,12.936140906526607
1700000150.0529075,1,0,0.0,0.0,14.320643547532349,1700000150000020,1700000150052908,1700000150.00002,1700000150.052908,0.052887916564941406,309.40540302852685,8.93133359716087
1700000155.058068,1,0,0.0,0.0,14.946272350587742,1700000154999816,1700000155058068,1700000154.999816,1700000155.058068,0.05825209617614746,306.958451035724,9.657797626519411
1700000160.0635085,1,0,0.0,0.0,15.398235884245164,1700000159999964,1700000160063508,1700000159.999964,1700000160.063508,0.06354403495788574,303.2033543301447,9.606552250309404
1700000165.0691626,1,0,0.0,0.0,16.06020753635095,1700000164999927,1700000165069162,1700000164.9999268,1700000165.069162,0.06923508644104004,299.5144193677897,8.700677947622909
1700000170.0749824,1,0,0.0,0.0,17.42464307276677,1700000169999972,1700000170074982,1700000169.9999719,1700000170.074982,0.07501006126403809,296.84013170686114,10.391462032526446
1700000175.0809317,1,0,0.0,0.0,17.518112247700497,1700000174999818,1700000175080932,1700000174.9998178,1700000175.080932,0.08111405372619629,294.5912077857579,7.982708247911981
1700000180.0869844,1,0,0.0,0.0,16.9113019443971,1700000179999826,1700000180086984,1700000179.999826,1700000180.086984,0.0871579647064209,292.03735213833863,8.892741139773424
1700000185.0931199,1,0,0.0,0.0,16.518813079769856,1700000185000032,1700000185093120,1700000185.000032,1700000185.0931199,0.09308791160583496,291.5158939691315,5.904384145929397
1700000190.099323,1,0,0.0,0.0,18.608610560218935,1700000190000144,1700000190099323,1700000190.000144,1700000190.099323,0.09917902946472168,289.1207005976183,7.234466652434746
1700000195.105528,1,0,0.0,0.0,17.75124105401701,1700000194999850,1700000195105528,1700000194.99985,1700000195.1055279,0.10567784309387207,287.9409002090735,4.174016237737291
1700000200.1110582,1,0,0.0,0.0,17.868127986080108,1700000200000033,1700000200111058,1700000200.000033,1700000200.111058,0.11102509498596191,287.457530696503,5.665760736693056
1700000205.1153934,1,0,0.0,0.0,18.217745299450776,1700000205000406,1700000205115394,1700000205.000406,1700000205.1153939,0.11498785018920898,284.2133883687928,6.655045113262027
1700000210.1182513,1,0,0.0,0.0,20.646652671346224,1700000209999792,1700000210118251,1700000209.9997919,1700000210.1182508,0.11845898628234863,281.35633314031384,6.316025075339439
1700000215.1195428,1,0,0.0,0.0,19.689027223937355,1700000214999819,1700000215119543,1700000214.999819,1700000215.1195428,0.11972379684448242,278.8687013477002,5.625790764112989
1700000220.12048,1,0,0.0,0.0,18.632010962706712,1700000220000064,1700000220120480,1700000220.000064,1700000220.1204798,0.12041592597961426,277.9830776081137,6.040667196126452
1700000225.1216388,1,0,0.0,0.0,19.521468705615987,1700000224999843,1700000225121639,1700000224.999843,1700000225.121639,0.1217961311340332,275.0632605785891,5.824051733041385
1700000230.1230123,1,0,0.0,0.0,18.912969365365374,1700000230000106,1700000230123012,1700000230.0001059,1700000230.1230118,0.12290596961975098,272.92303128546166,5.931262331029752
1700000235.124594,1,0,0.0,0.0,18.634548513416906,1700000235000111,1700000235124594,1700000235.0001109,1700000235.124594,0.12448310852050781,270.23778272496276,5.02700752700738
1700000240.1263757,1,0,0.0,0.0,20.339325515003967,1700000239999954,1700000240126376,1700000239.999954,1700000240.126376,0.12642192840576172,267.199182947921,5.948430148049462
1700000245.1283493,1,0,0.0,0.0,21.41679820619468,1700000245000260,1700000245128349,1700000245.0002599,1700000245.1283488,0.12808895111083984,265.8120319682173,6.845338726758096
1700000250.1305063,1,0,0.0,0.0,20.219128539272408,1700000250000227,1700000250130506,1700000250.000227,1700000250.130506,0.1302790641784668,263.6770959790563,6.386842048172767
1700000255.132837,1,0,0.0,0.0,20.503178225513064,1700000255000122,1700000255132837,1700000255.0001218,1700000255.1328368,0.13271498680114746,262.06596625230725,7.5440178047574005
1700000260.1353333,1,0,0.0,0.0,21.681043044484255,1700000259999843,1700000260135333,1700000259.999843,1700000260.1353328,0.13548994064331055,259.3325168069282,5.007458185108973
1700000265.1379857,1,0,0.0,0.0,18.593964062998555,1700000265000118,1700000265137986,1700000265.000118,1700000265.137986,0.13786792755126953,256.5086936404441,5.3835925802221265
1700000270.1407857,1,0,0.0,0.0,21.54713278891154,1700000269999908,1700000270140786,1700000269.999908,1700000270.140786,0.14087796211242676,255.2447272572291,7.1826161241507895
1700000275.1437242,1,0,0.0,0.0,21.81613872159125,1700000274999560,1700000275143724,1700000274.9995599,1700000275.143724,0.1441640853881836,252.2001216730221,4.450064654172607
