time,x,y,z,vx,vy,vz,yaw,yaw_rate,pos_cov_xx,pos_cov_xy,pos_cov_xz,pos_cov_yy,pos_cov_yz,pos_cov_zz
1700000004.0,36.548234009298184,4.452449857771815,-2.4827157028385316,0.4653709169780267,0.7836055967311305,0.0071931574848412465,-0.6397493508792924,-0.014066452788547776,0.6800382635545766,-0.013505194101377066,-0.007082790567468951,0.6808040164086675,-0.0067737929278036905,0.6744333596203247
1700000005.0,37.031226407690795,7.807118359977078,-1.8837072808231194,1.0249070266195874,3.6477478918279505,0.19148054281729313,-0.4850003045155317,-0.021917320802066344,1.5338110922531079,0.0639841294653447,-0.0285921178099868,1.4261499052222781,0.0923620762790311,0.6129251111723447
1700000006.0,40.030599702349186,11.827616640925898,-1.1307919563577051,2.5743494603875305,5.315251903003772,0.40289461570507507,-0.6297851671925571,-0.0270931096045974,1.8389306446874896,0.07483733324911952,-0.04756286708655924,1.8718720755978266,0.1298196596607388,0.6294322814217527
1700000007.0,41.706448007363086,15.755386685410832,-0.4935810854456447,2.6001965697489244,5.624579040335338,0.5050582293168387,-0.6403877278066546,-0.03351378809404314,1.7010750025232235,-0.028287793671711647,-0.006053522682706,1.747978808772176,0.0350579748644972,0.5299935012817565
1700000008.0,44.105574357299105,15.138878677302664,0.047655126274496196,2.337991670498536,3.1737893710656113,0.11786785415349255,-0.4267371290589153,-0.042220664403652,1.973983079186199,-0.03791971224762266,-0.01745151382733371,1.6070894033055716,-0.0076748355544945844,0.5765781447262515
1700000009.0,41.3133669981747,19.29732110519995,0.5505841227688979,0.5241568923495197,2.9282104135687024,0.17840449775655867,-0.7543247622781596,-0.05089739918029891,2.144581278709211,0.1038544678167313,0.037248828959920856,1.5873888105183211,-0.19223943458144555,1.060752337020142
1700000010.0,44.427247053122265,19.672931658271036,-0.602091556528151,2.0092611733160837,2.125487334300022,-0.1287794531408447,-0.7029110338962244,-0.06163397332283418,1.7943066270549812,-0.09791293754593951,-0.008635103908507644,1.6354258048629478,-0.28700861233658564,1.199079854235702
1700000011.0,44.9349710822655,18.868477153510973,0.8015778416257197,1.636714223889557,-0.08382352748196076,0.18960207202333945,-0.8266801831384516,-0.07743188436947973,1.6646691968095164,0.015882187370331837,0.1219735848552941,1.5791607690597294,-0.32885723124627464,1.1237583619354534
1700000012.0,44.86909565370351,18.506528830808392,0.41701739535076265,0.14330400137424326,-0.931394551536455,0.32278393989690957,-0.9285948537793149,-0.09650404020007464,1.6401950652856276,0.0019655691211883457,-0.014973632825674175,1.6303063891884602,-0.09030409189668478,0.6643476715062564
1700000013.0,44.803917463672704,18.938147619164305,0.3980211541852758,-0.3746730943818216,-0.9303107652250862,0.24280727073854583,-1.1160107674115243,-0.12085210068241128,1.7155523587379313,-0.059151142858207204,-0.0010920198108749475,1.6743560073187247,-0.11664512347892655,0.7055407963989283
1700000014.0,49.5770059705388,19.366195117766928,0.1716521617348341,2.0126857594821557,-0.48922250056106353,-0.05612037193498115,-1.5207137119785388,-0.147808795619988,1.6140992264797573,-0.025293291796696437,-0.04632331806676752,1.7483893448746726,-0.11763146508681324,0.7504063940116035
1700000015.0,50.115179304924425,19.695266279622178,-0.11796406504183515,1.586530522801489,-0.792477635337846,-0.09592588611788783,-1.626584962859478,-0.176535606161947,1.7923464037852448,0.15875893842937078,-0.1094706649564834,1.7427063415498334,0.010992876627341143,0.8921650096836653
1700000016.0,51.36075637852057,19.63735201655217,0.0012627477769210638,1.4469368996432626,-0.8228093366312345,-0.06409706112657221,-1.8008675305479527,-0.19374431019106422,1.579627609950433,-0.01280865492443051,-0.15392607395716432,1.6402937325336353,-0.00010814963106149502,0.9095699598150273
1700000017.0,53.35545921263527,20.741328768295183,0.7198238424473267,1.996678166168596,0.18921568763476238,0.14612048684357895,-1.700512388520893,-0.1997982307762633,1.6019192269332108,-0.014456694755134274,-0.05374835095846599,1.6234529530830557,-0.022091948465068623,0.7191155430015512
1700000018.0,56.05221591704905,19.510231730070533,0.4087146291272149,2.2271599587039552,-0.648854856385159,0.07201882736137943,-1.9623904704886526,-0.19448151284192483,1.5829358982406114,-0.03386263554041425,-0.08517374726772015,1.8238013263925814,-0.019836809689295413,0.7532932362669328
1700000019.0,56.71180124836634,20.34962314956547,-0.020942459171550465,1.2076842306660687,0.035821980350640326,-0.009287074091594238,-2.137938743494045,-0.1758303709478438,1.6146699949345888,0.005180191806569981,-0.08054187982399386,1.618452610116779,0.0027027324900492007,0.7395592424178671
1700000020.0,56.08022662105347,18.729246192315173,-0.24755124436883819,-0.15230817710433708,-0.8676916065637639,-0.02745212066378113,-2.1851638043665473,-0.1467680510922817,1.7363364216375972,-0.016170707457006415,-0.07043101402841247,1.611159717106227,-0.05414777414436524,0.7521028986878223
1700000021.0,56.1551178853083,18.15659849848621,-0.2747595084734237,-0.39114639546678776,-0.7825803330235577,-0.06602734215606867,-2.300986878464677,-0.12172144522929267,1.5055885336926869,0.05062706108178096,0.025330051024387203,1.6162990897864074,-0.04758074094936134,0.5812250740150917
1700000022.0,56.84983107863353,16.387094084229343,-0.2587839212984328,-0.15005372486041402,-1.450097217339052,0.03273522081259672,-2.465513570127866,-0.1032367703755728,1.6106434765041178,-0.009865229385307244,0.026108809889582356,1.5879470235068038,-0.012857958514499104,0.5476416256894397
1700000023.0,56.387989428039255,14.25841042578923,-0.18207945021159164,-0.6287054830518416,-2.000821443438442,0.053151082425953,-2.5941408761227183,-0.08461300597673473,1.623482684629099,0.031513370078117525,0.015201181091557353,1.6314612105574398,0.024141603165096538,0.5853589595612522
1700000024.0,57.360201395201685,12.73558880876274,-0.43050018385461636,-0.04195882292184683,-1.9593151084461975,-0.009985759326120877,-2.591981383481195,-0.06983643978203427,1.5865549660060432,0.006009321044450732,0.010551655644164692,1.5868364509872177,0.054355383006846385,0.6141324988237713
1700000025.0,57.43692087320582,12.545227689319413,-0.6739210539763271,-0.08358911031629515,-1.0382069326993244,-0.0607709098449446,-2.5480751779913,-0.06021720374865129,1.5939328572795506,-0.01277430422090882,-0.03723511230471806,1.7533208948419094,0.07410531598587268,0.6599593151171173
1700000026.0,58.089395852350236,11.040698072281426,-1.0073786780125524,0.0950257942567998,-1.0732722743075493,-0.09621557162402394,-2.6670640980884928,-0.05231703970669478,1.718172787628814,-0.1200720196426664,-0.0627343899105445,1.7137875348431113,0.03311618715164485,0.6966423693719701
1700000027.0,59.44562637974858,9.095169242557082,-0.7807448800366554,0.8791304250735096,-1.3914627688283792,-0.036159035222605364,-2.782076227837049,-0.04842006799334108,1.6151860281146262,-0.026431079782744962,-0.013113649871104055,1.6217044040246291,-0.004996740947136531,0.6405700925840029
1700000028.0,58.761267889546644,5.512753855735626,-0.7023206301995668,0.23083983795301743,-2.6493801116303093,-0.05343597936983363,-3.0380073657247677,-0.04719340438029821,1.5957876911334063,0.03528075139647281,-0.030515150037806797,1.6976173471737157,0.02120541562931284,0.6636837627279359
1700000029.0,59.320390644330196,1.7493590708021438,-0.2497728649267945,0.2073998436170097,-3.481257214863212,0.024412201514014034,-3.0492811826171597,-0.04161820959241143,1.6670139866909182,-0.030796815695455743,-0.005241451536771259,1.6013109532611864,0.07189926376155326,0.7088374837082154
1700000030.0,61.22386321538198,0.8375139263801157,-0.21477156365711975,1.1360396577286567,-2.3635599181690106,-0.06652960869175345,-3.0154501593383234,-0.04008072653370762,1.6070927768471963,0.00876803420868633,-0.007968789113834685,1.58471400688372,0.12157138705923806,0.7476453381520953
