time,rov_id,t_sent,t_received,x,y,z,channels,rssi,azimuth,elevation
1700000000.0367541,1,1699999999999947,1700000000036754,0.0,0.0,4.891935314224245,0,array('h'),179.8527828407163,4.6147191538401815
1700000005.0353599,1,1700000005000087,1700000005035360,0.0,0.0,5.498602440916546,0,array('h'),186.61177493057102,3.763063150913286
1700000010.0333893,1,1700000010000044,1700000010033389,0.0,0.0,5.575495405273368,0,array('h'),192.33105717380508,5.1151261694045935
1700000015.0309055,1,1700000015000010,1700000015030906,0.0,0.0,6.690563904641804,0,array('h'),199.96713279248382,6.217891769708763
1700000020.0279868,1,1700000020000965,1700000020027987,0.0,0.0,6.578031317011514,0,array('h'),209.19288678964722,7.491925039661267
1700000025.024731,1,1700000025000322,1700000025024731,0.0,0.0,7.0630906854671816,0,array('h'),216.28870370714796,7.917910166146045
1700000030.0212603,1,1700000030000304,1700000030021260,0.0,0.0,7.107944335243091,0,array('h'),223.4413292243549,11.807879031667005
1700000035.017737,1,1700000034999807,1700000035017737,0.0,0.0,8.02346205248944,0,array('h'),236.8494153141297,15.10222709373077
1700000040.014398,1,1700000039999774,1700000040014398,0.0,0.0,8.175748454398859,0,array('h'),252.8400612224594,19.738646723413893
1700000045.0116246,1,1700000044999354,1700000045011624,0.0,0.0,8.917033562136224,0,array('h'),273.0115848372129,26.337074083434135
1700000050.0099962,1,1700000049999978,1700000050009996,0.0,0.0,9.31758657905732,0,array('h'),304.26882508606394,31.92154280201848
1700000055.010017,1,1700000055000310,1700000055010017,0.0,0.0,9.32575941211218,0,array('h'),336.2543362007252,32.540334349899226
1700000060.0114923,1,1700000060000097,1700000060011492,0.0,0.0,10.316706845369952,0,array('h'),6.329134883639379,31.254367435486618
1700000065.013515,1,1700000064999616,1700000065013515,0.0,0.0,10.51358635490991,0,array('h'),23.930856319473676,28.088971465826347
1700000070.0154996,1,1700000070000774,1700000070015500,0.0,0.0,10.878302911092797,0,array('h'),37.73940229054656,23.748955025971075
1700000075.0172188,1,1700000075000308,1700000075017219,0.0,0.0,11.415507842272376,0,array('h'),50.816963339944465,22.209794857346115
1700000080.0185468,1,1700000080000229,1700000080018547,0.0,0.0,11.820565762454486,0,array('h'),59.01579272406716,21.37666468384325
1700000085.0194144,1,1700000084999426,1700000085019414,0.0,0.0,12.078759670344697,0,array('h'),70.01088148858048,22.88871053237496
1700000090.0197892,1,1700000089999547,1700000090019789,0.0,0.0,12.831977144382702,0,array('h'),81.04290902470424,23.444099729172763
1700000095.0196679,1,1700000094999653,1700000095019668,0.0,0.0,13.140280829553946,0,array('h'),86.63762937792913,23.11358676309365
1700000100.0190759,1,1700000099999646,1700000100019076,0.0,0.0,13.572570596525605,0,array('h'),98.59811133968665,25.513895937565522
1700000105.0180705,1,1700000105000234,1700000105018070,0.0,0.0,13.888202485662433,0,array('h'),107.6296447197036,24.75207258209699
1700000110.0167525,1,1700000109999844,1700000110016752,0.0,0.0,13.640801214703645,0,array('h'),118.32175542065929,33.2767373881835
1700000115.0152824,1,1700000114999614,1700000115015282,0.0,0.0,14.627099320402065,0,array('h'),136.11465943448937,35.46634931483929
1700000120.01391,1,1700000119999996,1700000120013910,0.0,0.0,14.861784440968274,0,array('h'),152.56259348791548,40.51373270784709
1700000125.0138714,1,1700000124999801,1700000125013872,0.0,0.0,15.008493069329488,0,array('h'),169.98649905478865,43.117559553115576
1700000130.0137615,1,1700000129999746,1700000130013762,0.0,0.0,15.684736263273722,0,array('h'),188.42174803762913,45.45762590569446
