time,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1700000000.01,2.365561790034806e-05,-2.0205011406623354e-05,0.049979694182761034,0.0018429413557031768,0.06339559372475481,-9.820547876608387
1700000000.02,-2.451573627490641e-05,-4.415943684658088e-05,0.05001370118369565,0.00028236997091091154,0.06026719935031772,-9.822012979110543
1700000000.03,-9.843846701212956e-06,2.9442297243934794e-06,0.04993788097907559,-0.0010596640961456547,0.06085183897637509,-9.81828958788667
1700000000.04,1.6380433599871298e-05,-2.61878468804599e-05,0.04998728215252571,-0.0006352946395175188,0.06262944405802479,-9.821343209504851
1700000000.05,-4.611619650247726e-05,3.586295816769904e-05,0.049946771216855756,-0.0007021916164608603,0.06466160603715528,-9.82001575126127
1700000000.06,8.583149883893786e-06,3.2197142887799896e-05,0.050007471657054374,0.00024374381537294905,0.060213062361265675,-9.821549993119065
1700000000.07,-3.1385207486009295e-05,-2.0083850413846738e-05,0.050046090529079844,-0.0001349615455544297,0.06214860938308071,-9.82172543516276
1700000000.08,-1.67895874261514e-05,-2.9513799213339802e-05,0.05002666908621016,0.00040100254392260327,0.06044252953452503,-9.819621794007716
1700000000.09,-1.3481659587112957e-05,1.4443085609195389e-05,0.05004253376753703,0.001203176442758266,0.06358680129484198,-9.8209793668496
1700000000.1,-5.215460880991725e-05,3.5426125856387035e-05,0.050059132065217976,-0.000559196335563618,0.062283333370066696,-9.821291092914665
1700000000.11,-2.812722130078342e-05,1.5756848400166848e-05,0.05006705839429241,-8.403581188436725e-05,0.06367112028767327,-9.81957797075877
1700000000.12,3.583494919075976e-05,3.7952521751842654e-06,0.04998696327953638,-4.1808987638050576e-05,0.0643259365421683,-9.823057242536473
1700000000.13,1.5570108117912143e-05,6.443618035073011e-05,0.04997740341849997,0.00010708482622137191,0.060180504472494165,-9.820256357093106
1700000000.14,1.4333548381162243e-05,-2.3097544884242892e-05,0.050022378460056034,-0.0009435120345804181,0.06191444692597024,-9.818931725728643
1700000000.15,-1.4286069591662696e-05,-1.7095915476562072e-05,0.049936190748255935,0.00011328950008164603,0.06363040609978529,-9.820819295960556
1700000000.16,-1.0227999015156406e-05,-6.171016435339807e-05,0.04998165986394413,0.0003455723633321553,0.06280464889846725,-9.819994032596098
1700000000.17,1.7616617357113874e-05,8.223770529277913e-05,0.05000761159265617,-0.00039994784079338603,0.06156373982265175,-9.820188220425514
1700000000.18,-1.156004969585856e-06,2.6260371534287527e-06,0.050107397356121054,0.00030056130597858445,0.0624131190121344,-9.822239206008254
1700000000.19,-5.09543624402116e-05,4.98270747128549e-05,0.050032784280219636,-0.00022448524589604475,0.06285190314433674,-9.820040508635246
1700000000.2,-6.112070633774345e-05,2.5586969289691786e-05,0.050095503865279806,0.0009231342822027171,0.06143874223608775,-9.818362939039138
1700000000.21,-2.1951538519466288e-05,-6.760892559448339e-05,0.05000298934571824,-0.001155955891418665,0.06183912794538683,-9.819883706856944
1700000000.22,6.757714005876472e-05,-3.414984354585994e-05,0.04998595811791013,-0.0012397084339281497,0.0630526797623848,-9.821072968081351
1700000000.23,5.699142408671387e-05,-7.008626902686953e-05,0.050008050036204295,0.0009493745926662622,0.061063578738554974,-9.81973455425632
1700000000.24,-5.757190833047445e-05,2.275665226089674e-05,0.05001294853174746,0.0003032832208954754,0.0634123846871973,-9.821443521479596
1700000000.25,1.0126261196219756e-05,1.2777959835822503e-05,0.04996885427819075,0.0002923251563496992,0.06290430245631651,-9.820793588850082
1700000000.26,2.862573733643498e-05,-4.249612082191122e-05,0.05003431688873987,0.0021773588545046354,0.06305296041453765,-9.821390251181235
1700000000.27,1.7997248414431326e-05,3.584182297575977e-05,0.05008270017403821,0.0013520810407101056,0.06154226113031664,-9.818875740057171
1700000000.28,-3.556932842449311e-05,-3.3616345304549433e-06,0.050014874226096497,-0.000286367931379129,0.06162038729202809,-9.821038063339373
1700000000.29,6.337408576405902e-05,-1.1539037929174886e-05,0.05011859937568001,0.00032289816281760116,0.06346532024745828,-9.81998482679218
1700000000.3,2.103579730460288e-05,-9.7429774402071e-06,0.050031130421559114,0.0007301537948420676,0.0614996945274955,-9.821249731545237
1700000000.31,-6.60473389963037e-05,-1.946805191012212e-05,0.050037338987426995,0.0005522683078692466,0.06241500605476313,-9.820988208268988
1700000000.32,1.6799837756177286e-05,-3.85361842183694e-05,0.05000670241461372,0.0002498473994008332,0.061046220241076574,-9.819797897859532
1700000000.33,2.445020534965502e-05,4.722103420244208e-05,0.05004594576948542,6.792957443592563e-05,0.06116615105826493,-9.819582462150473
1700000000.34,2.2401067459772304e-05,2.245607912294369e-05,0.05016797909300924,-0.0016077401524060056,0.061405555574252424,-9.819398953843168
1700000000.35,2.8400658556932795e-05,-1.374573906631907e-05,0.050033091058008,0.0006662292259668765,0.0638252024979241,-9.818886679942004
1700000000.36,3.5697124772436636e-06,0.00010091911350696499,0.04991858723759749,-0.000901887025364947,0.06222363008176762,-9.820566419260317
1700000000.37,4.7478246027777166e-05,2.802608832562177e-06,0.04995301032769898,0.0008008656421757,0.060617957974155305,-9.82055074448738
1700000000.38,9.437594505774104e-06,1.986932219806281e-06,0.049971590224861084,-0.0008347594287000227,0.06329308796884044,-9.820852337859217
1700000000.39,8.129408123947045e-06,-2.885388986390172e-05,0.05003716609339161,0.002501982752241024,0.0632397808948785,-9.822363341398631
1700000000.4,3.77469264658173e-05,-5.233292334763185e-05,0.04998541574611183,-0.0009248717017502473,0.06236609996864126,-9.81941067984543
1700000000.41,1.7657202597897664e-05,-5.4974540409007975e-05,0.05004001878090829,-0.0005542611781286447,0.061737562181419715,-9.817939714901593
1700000000.42,-2.111260557696856e-05,5.523732610453675e-05,0.04996914561131572,0.002476556281914718,0.06370488435489655,-9.82177310475027
1700000000.43,-2.595305524294484e-06,-0.00014131925602701157,0.04995533669883232,0.00051793727264464,0.06340399533618547,-9.821081727860332
1700000000.44,-6.235416407908359e-05,-1.9185939619988492e-05,0.05000570028918637,-0.0002947470326833257,0.061043834422480556,-9.818094976008313
1700000000.45,4.4616146045399533e-07,-4.279377718569066e-05,0.05002014771149458,0.0016819659283410543,0.06082434626540698,-9.818642587901236
1700000000.46,-1.6799672823172745e-05,4.949356252954415e-06,0.050028868897403614,0.00023230266474063795,0.06179954430018906,-9.819918540966817
1700000000.47,-8.511102805918108e-05,-6.617830143551433e-06,0.05002565063019722,0.0018508816244450165,0.06105546670870226,-9.817510750051776
1700000000.48,-2.1494840751125113e-05,-2.5696303402767624e-05,0.05003704265142461,0.0003279175096442227,0.061773307056202625,-9.820242878666168
1700000000.49,1.3398259110220167e-05,3.544078838137866e-05,0.05002745181752457,0.00041663707212657433,0.06169137189816422,-9.81895016694537
1700000000.5,2.661214357289907e-05,-9.113094968368586e-07,0.05000511547392896,-0.0009674371777464667,0.06184626612192321,-9.819127908362821
1700000000.51,-8.815599646117782e-06,-9.490900460706805e-06,0.05004790667074113,0.0014910349333821778,0.06180963358506212,-9.819361537356174
1700000000.52,9.157674951882946e-07,2.973314954846043e-05,0.049986472369407016,0.0009632608792617488,0.06344936314104642,-9.81847650623205
1700000000.53,2.5948846309049434e-05,-3.5674421788979406e-05,0.05009122808523658,0.00037830213334655056,0.06234812045138632,-9.819886805708855
1700000000.54,3.4516493456784006e-05,2.7211624023473964e-05,0.05002739586422062,-0.0011740222842074005,0.0610830392847103,-9.818648484610625
1700000000.55,-2.952425062192807e-05,4.2515220377013955e-05,0.0499935882981388,-1.4291983905019242e-05,0.061452901544309206,-9.819911536080589
1700000000.56,-2.45783905022533e-05,-3.5848809246696414e-05,0.050010624762415544,-0.0009633552286552329,0.06212494011862443,-9.819518108992861
1700000000.57,1.0117377268792942e-05,-6.313647728928333e-05,0.04993863457943168,0.00028587598848704655,0.061908394710174966,-9.820549701702657
1700000000.58,6.432553105900048e-05,3.7393959571608044e-05,0.04999302668011029,-0.0008384244062052113,0.06225090456978535,-9.819637170870948
1700000000.59,-1.2585516656918032e-05,1.4070529230740702e-05,0.04996393273087782,-2.2191914623371677e-05,0.06133004562730122,-9.820021604829703
1700000000.6,1.751463108351385e-05,3.0090278038604508e-05,0.04998250678742027,0.0006060773821263262,0.06428870370730702,-9.82012692309325
1700000000.61,-3.370322657609834e-05,1.0686435976899023e-06,0.050021712725515,0.00026151592626623985,0.06251469272754576,-9.819886011992994
1700000000.62,-3.345635374191896e-05,3.803317976102157e-05,0.05000799371146689,0.0016934845902960695,0.06361946644987489,-9.817487236072084
