time,x,y,z,yaw,surge,sway,yaw_rate
1776261889.814928,55.33022481602832,1.418558850515645,-1.8287610034817041,1.3627524154927947e-10,0.0,0.0,0.0010265348662267123
1776261890.456003,55.32429765567157,1.4246194022225722,-1.823016013515889,0.03522984138816515,-0.01049458039757538,0.03197586930787133,0.25375359723338853
1776261891.4522126,55.20321531103126,1.8138722506278686,-1.8013604711761828,0.08559027287289442,-0.1500054825624924,0.4954609557380939,0.2500811278757659
1776261892.4511297,55.268603075518286,2.1449554565073146,-1.8041728140096684,0.1351356948116893,-0.026886138843883384,0.5476543184531064,0.2468312498375908
1776261893.4517527,56.06348686948474,4.3958877468990245,-1.6081053522036124,0.18609995192248194,0.5367647058469217,1.8681593106884133,0.25268201843846516
1776261894.4523325,55.06610914690404,6.029458336506133,-1.5169266716798433,0.24672342331495722,-0.2564747439764137,2.243290269209985,0.24734023256045745
1776261894.465456,54.93628016586322,6.17935164365167,-1.5188100991751614,0.1637420660305747,-0.5343916567150486,2.276203803796098,0.24725751966067389
1776261895.4512475,54.634906234109515,7.8129350245374365,-1.212943476819236,0.22045145195575436,-0.7113643035522749,2.4742908016018372,0.24835267084612223
1776261896.4206674,54.056361097245585,9.569776149924254,-0.6397168055302609,0.2574707597100331,-0.7712371939739531,2.1195716599545293,0.24866897327413345
1776261897.1277473,53.44023226240795,9.388309047201915,-0.07138390037645093,0.30731461959001205,-0.806809888101726,0.5527877060061639,0.24672963719816582
1776261897.6032498,51.78511281430987,11.41807079776868,0.36210464184824676,0.34635467235963235,-1.458168024314944,1.0451665861492967,0.24992238920886353
1776261897.98573,51.96750060425406,12.896847507538693,-0.07681892282243619,0.3788187826175577,-0.4700771947192077,1.3557889024232033,0.2515699282080413
1776261897.9879827,51.87432028542226,12.87497274777832,-0.06819502360224783,0.35754023629639115,-0.5552220210726717,1.3284510627356325,0.2515487640172029
1776261898.311782,51.088835403235464,13.204049724913563,0.4214978440446265,0.3988001868891803,-0.47870424401972633,0.5784014477314531,0.24646629347927365
1776261898.6041238,49.78508645866426,13.754671420251523,-0.17936797870862897,0.44037459482357605,-1.0086221613321842,0.39080586676898826,0.25017564849418245
1776261898.871953,48.318026512332565,14.784271896805434,-0.15889698291384535,0.4803045083042635,-1.3984181773531286,0.6734927942326819,0.24874430630828862
1776261899.1179643,49.31446499692034,16.163215714447045,-0.10401226011994227,0.5117734268549347,0.11642901429930874,1.1395658305766547,0.24510491260694658
1776261899.3472512,48.33956846996746,16.77602646700238,-0.12256909138037965,0.5566561144407416,-0.3482592879629207,0.8713283486188319,0.24751946708132266
1776261899.3492544,48.13694674880593,16.68264160618558,0.38713861010958295,0.5534894822634746,-0.446061037461436,0.7903223687770244,0.24751519803818323
1776261899.5658674,47.33980120191342,17.58703913324826,0.4845209405335331,0.6039361833004214,-0.6088439726031354,0.8675343652371782,0.2528766605114133
