t_sim_sec,t_ros_sec,t_ros_ns,rov_id,x_n,y_e,z_d,vx_n,vy_e,vz_d
0.0,1700000000.0,1700000000000000000,1,0.0,0.0,5.0,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.01,1700000000.01,1700000000009999872,1,0.003333333333333333,0.0008333333333333333,5.0008333333333335,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.02,1700000000.02,1700000000020000000,1,0.006666666666666666,0.0016666666666666666,5.001666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.03,1700000000.03,1700000000029999872,1,0.01,0.0025,5.0025,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.04,1700000000.04,1700000000040000000,1,0.013333333333333332,0.003333333333333333,5.003333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.05,1700000000.05,1700000000049999872,1,0.016666666666666666,0.004166666666666667,5.004166666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.06,1700000000.06,1700000000060000000,1,0.02,0.005,5.005,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.07,1700000000.07,1700000000069999872,1,0.023333333333333334,0.005833333333333334,5.005833333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.08,1700000000.08,1700000000080000000,1,0.026666666666666665,0.006666666666666666,5.006666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.09,1700000000.09,1700000000089999872,1,0.03,0.0075,5.0075,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.1,1700000000.1,1700000000100000000,1,0.03333333333333333,0.008333333333333333,5.008333333333334,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.11,1700000000.11,1700000000109999872,1,0.03666666666666667,0.009166666666666667,5.009166666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.12,1700000000.12,1700000000120000000,1,0.04,0.01,5.01,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.13,1700000000.13,1700000000130000128,1,0.043333333333333335,0.010833333333333334,5.010833333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.14,1700000000.14,1700000000140000000,1,0.04666666666666667,0.011666666666666667,5.011666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.15,1700000000.15,1700000000150000128,1,0.05,0.0125,5.0125,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.16,1700000000.16,1700000000160000000,1,0.05333333333333333,0.013333333333333332,5.013333333333334,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.17,1700000000.17,1700000000170000128,1,0.05666666666666667,0.014166666666666668,5.014166666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.18,1700000000.18,1700000000180000000,1,0.06,0.015,5.015,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.19,1700000000.19,1700000000190000128,1,0.06333333333333332,0.01583333333333333,5.015833333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.2,1700000000.2,1700000000200000000,1,0.06666666666666667,0.016666666666666666,5.016666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.21,1700000000.21,1700000000210000128,1,0.07,0.0175,5.0175,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.22,1700000000.22,1700000000220000000,1,0.07333333333333333,0.018333333333333333,5.0183333333333335,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.23,1700000000.23,1700000000230000128,1,0.07666666666666667,0.01916666666666667,5.019166666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.24,1700000000.24,1700000000240000000,1,0.08,0.02,5.02,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.25,1700000000.25,1700000000249999872,1,0.08333333333333333,0.020833333333333332,5.020833333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.26,1700000000.26,1700000000260000000,1,0.08666666666666667,0.021666666666666667,5.0216666666666665,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.27,1700000000.27,1700000000269999872,1,0.09000000000000001,0.022500000000000003,5.0225,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.28,1700000000.28,1700000000280000000,1,0.09333333333333334,0.023333333333333334,5.023333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.29,1700000000.29,1700000000289999872,1,0.09666666666666665,0.024166666666666663,5.024166666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.3,1700000000.3,1700000000300000000,1,0.1,0.025,5.025,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.31,1700000000.31,1700000000309999872,1,0.10333333333333333,0.025833333333333333,5.025833333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.32,1700000000.32,1700000000320000000,1,0.10666666666666666,0.026666666666666665,5.026666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.33,1700000000.33,1700000000329999872,1,0.11000000000000001,0.027500000000000004,5.0275,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.34,1700000000.34,1700000000340000000,1,0.11333333333333334,0.028333333333333335,5.028333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.35000000000000003,1700000000.35,1700000000349999872,1,0.11666666666666667,0.029166666666666667,5.029166666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.36,1700000000.36,1700000000360000000,1,0.12,0.03,5.03,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.37,1700000000.37,1700000000369999872,1,0.12333333333333334,0.030833333333333334,5.030833333333334,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.38,1700000000.38,1700000000380000000,1,0.12666666666666665,0.03166666666666666,5.031666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.39,1700000000.39,1700000000390000128,1,0.13,0.0325,5.0325,0.3333333333333333,0.08333333333333333,0.08333333333333333
0.4,1700000000.4,1700000000400000000,1,0.13333333333333333,0.03333333333333333,5.033333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
