t_sim_sec,t_ros_sec,t_ros_ns,x_n,y_e,z_d,vx_n,vy_e,vz_d,yaw_rad
0.0,1700000000.0,1700000000000000000,55.0,0.0,0.0,-0.0,1.25,0.0,1.5707963267948963
0.01,1700000000.01,1700000000009999872,54.999996875000065,0.012499999479166673,0.0,-0.0006249999739583337,1.2499998437500033,0.0,1.5712963267948967
0.02,1700000000.02,1700000000020000000,54.99998750000104,0.02499999583333354,0.0,-0.001249999791666677,1.2499993750000522,0.0,1.5717963267948967
0.03,1700000000.03,1700000000029999872,54.99997187500527,0.03749998593750158,0.0,-0.001874999296875079,1.2499985937502636,0.0,1.5722963267948966
0.04,1700000000.04,1700000000040000000,54.99995000001667,0.049999966666673334,0.0,-0.0024999983333336665,1.2499975000008332,0.0,1.5727963267948966
0.05,1700000000.05,1700000000049999872,54.99992187504069,0.06249993489585369,0.0,-0.0031249967447926842,1.2499960937520345,0.0,1.5732963267948967
0.06,1700000000.06,1700000000060000000,54.99988750008438,0.07499988750005063,0.0,-0.003749994375002531,1.2499943750042188,0.0,1.5737963267948964
0.07,1700000000.07,1700000000069999872,54.999846875156315,0.0874998213542761,0.0,-0.004374991067713805,1.2499923437578158,0.0,1.5742963267948966
0.08,1700000000.08,1700000000080000000,54.99980000026667,0.09999973333354667,0.0,-0.004999986666677334,1.2499900000133333,0.0,1.5747963267948968
0.09,1700000000.09,1700000000089999872,54.99974687542715,0.11249962031288444,0.0,-0.005624981015644221,1.2499873437713573,0.0,1.5752963267948967
0.1,1700000000.1,1700000000100000000,54.99968750065104,0.12499947916731773,0.0,-0.0062499739583658865,1.249984375032552,0.0,1.5757963267948967
0.11,1700000000.11,1700000000109999872,54.99962187595319,0.13749930677188185,0.0,-0.006874965338594092,1.2499810937976594,0.0,1.5762963267948964
0.12,1700000000.12,1700000000120000000,54.99955000135,0.14999910000162,0.0,-0.007499955000080999,1.2499775000675,0.0,1.5767963267948966
0.13,1700000000.13,1700000000130000128,54.99947187685944,0.16249885573158396,0.0,-0.008124942786579197,1.249973593842972,0.0,1.5772963267948967
0.14,1700000000.14,1700000000140000000,54.99938750250104,0.17499857083683482,0.0,-0.00874992854184174,1.249969375125052,0.0,1.5777963267948967
0.15,1700000000.15,1700000000150000128,54.999296878295894,0.18749824219244385,0.0,-0.009374912109622192,1.2499648439147946,0.0,1.5782963267948964
0.16,1700000000.16,1700000000160000000,54.999200004266655,0.1999978666734933,0.0,-0.009999893333674667,1.2499600002133329,0.0,1.5787963267948966
0.17,1700000000.17,1700000000170000128,54.99909688043755,0.21249744115507718,0.0,-0.010624872057753858,1.2499548440218775,0.0,1.5792963267948965
0.18,1700000000.18,1700000000180000000,54.998987506834354,0.22499696251230186,0.0,-0.011249848125615093,1.2499493753417177,0.0,1.5797963267948967
0.19,1700000000.19,1700000000190000128,54.99887188348441,0.2374964276202871,0.0,-0.011874821381014356,1.2499435941742207,0.0,1.5802963267948966
0.2,1700000000.2,1700000000200000000,54.99875001041663,0.24999583335416664,0.0,-0.012499791667708333,1.2499375005208315,0.0,1.5807963267948966
0.21,1700000000.21,1700000000210000128,54.99862188766147,0.26249517658908916,0.0,-0.013124758829454457,1.249931094383074,0.0,1.5812963267948965
0.22,1700000000.22,1700000000220000000,54.998487515250986,0.2749944542002189,0.0,-0.013749722710010945,1.2499243757625491,0.0,1.5817963267948967
0.23,1700000000.23,1700000000230000128,54.99834689321874,0.28749366306273655,0.0,-0.014374683153136825,1.2499173446609366,0.0,1.5822963267948966
0.24,1700000000.24,1700000000240000000,54.9982000215999,0.29999280005183987,0.0,-0.014999640002591992,1.2499100010799948,0.0,1.5827963267948963
0.25,1700000000.25,1700000000249999872,54.998046900431184,0.3124918620427447,0.0,-0.015624593102137235,1.2499023450215592,0.0,1.5832963267948965
0.26,1700000000.26,1700000000260000000,54.99788752975087,0.3249908459106858,0.0,-0.01624954229553429,1.2498943764875436,0.0,1.5837963267948967
0.27,1700000000.27,1700000000269999872,54.99772190959881,0.337489748530917,0.0,-0.01687448742654585,1.2498860954799407,0.0,1.5842963267948966
0.28,1700000000.28,1700000000280000000,54.99755004001641,0.3499885667787128,0.0,-0.01749942833893564,1.2498775020008204,0.0,1.5847963267948966
0.29,1700000000.29,1700000000289999872,54.99737192104662,0.36248729752936876,0.0,-0.01812436487646844,1.2498685960523308,0.0,1.5852963267948965
0.3,1700000000.3,1700000000300000000,54.997187552733976,0.37498593765820226,0.0,-0.01874929688291011,1.249859377636699,0.0,1.5857963267948967
0.31,1700000000.31,1700000000309999872,54.996996935124585,0.3874844840405533,0.0,-0.019374224202027664,1.2498498467562291,0.0,1.5862963267948966
0.32,1700000000.32,1700000000320000000,54.99680006826608,0.3999829335517854,0.0,-0.01999914667758927,1.2498400034133041,0.0,1.5867963267948966
0.33,1700000000.33,1700000000329999872,54.996596952207696,0.41248128306728604,0.0,-0.020624064153364305,1.2498298476103848,0.0,1.5872963267948965
0.34,1700000000.34,1700000000340000000,54.9963875870002,0.4249795294624682,0.0,-0.02124897647312341,1.2498193793500103,0.0,1.5877963267948967
0.35000000000000003,1700000000.35,1700000000349999872,54.99617197269595,0.4374776696127702,0.0,-0.02187388348063851,1.249808598634797,0.0,1.5882963267948966
0.36,1700000000.36,1700000000360000000,54.99595010934882,0.4499757003936569,0.0,-0.022498785019682846,1.2497975054674408,0.0,1.5887963267948966
0.37,1700000000.37,1700000000369999872,54.9957219970143,0.46247361868062103,0.0,-0.02312368093403105,1.2497860998507149,0.0,1.5892963267948965
0.38,1700000000.38,1700000000380000000,54.99548763574941,0.47497142134918297,0.0,-0.02374857106745915,1.2497743817874705,0.0,1.5897963267948967
0.39,1700000000.39,1700000000390000128,54.99524702561274,0.48746910527489196,0.0,-0.024373455263744598,1.249762351280637,0.0,1.5902963267948966
0.4,1700000000.4,1700000000400000000,54.99500016666444,0.49996666733332706,0.0,-0.024998333366666355,1.2497500083332223,0.0,1.5907963267948966
0.41000000000000003,1700000000.41,1700000000410000128,54.99474705896624,0.512464104400098,0.0,-0.0256232052200049,1.249737352948312,0.0,1.5912963267948965
0.42,1700000000.42,1700000000420000000,54.994487702581395,0.5249614133508455,0.0,-0.026248070667542273,1.2497243851290698,0.0,1.5917963267948967
0.43,1700000000.43,1700000000430000128,54.99422209757476,0.5374585910612424,0.0,-0.02687292955306212,1.2497111048787382,0.0,1.5922963267948966
0.44,1700000000.44,1700000000440000000,54.99395024401273,0.5499556344069944,0.0,-0.027497781720349716,1.2496975122006364,0.0,1.5927963267948966
0.45,1700000000.45,1700000000450000128,54.99367214196327,0.5624525402638405,0.0,-0.028122627013192028,1.2496836070981634,0.0,1.5932963267948967
0.46,1700000000.46,1700000000460000000,54.993387791495906,0.5749493055075546,0.0,-0.02874746527537773,1.249669389574795,0.0,1.5937963267948967
0.47000000000000003,1700000000.47,1700000000470000128,54.99309719268172,0.5874459270139454,0.0,-0.02937229635069727,1.249654859634086,0.0,1.5942963267948966
0.48,1700000000.48,1700000000480000000,54.992800345593366,0.5999424016588573,0.0,-0.029997120082942863,1.2496400172796682,0.0,1.5947963267948966
0.49,1700000000.49,1700000000490000128,54.99249725030506,0.612438726318172,0.0,-0.0306219363159086,1.2496248625152528,0.0,1.5952963267948965
0.5,1700000000.5,1700000000500000000,54.99218790689257,0.6249348978678083,0.0,-0.031246744893390417,1.2496093953446283,0.0,1.5957963267948967
0.51,1700000000.51,1700000000509999872,54.99187231543323,0.6374309131837234,0.0,-0.031871545659186165,1.2495936157716614,0.0,1.5962963267948966
0.52,1700000000.52,1700000000520000000,54.99155047600594,0.6499267691419136,0.0,-0.03249633845709568,1.249577523800297,0.0,1.5967963267948966
0.53,1700000000.53,1700000000529999872,54.99122238869116,0.6624224626184148,0.0,-0.033121123130920735,1.2495611194345582,0.0,1.5972963267948965
0.54,1700000000.54,1700000000540000000,54.99088805357093,0.6749179904893038,0.0,-0.03374589952446519,1.249544402678546,0.0,1.597796326794897
0.55,1700000000.55,1700000000549999872,54.9905474707288,0.6874133496306988,0.0,-0.03437066748153494,1.2495273735364398,0.0,1.5982963267948966
0.56,1700000000.56,1700000000560000000,54.99020064024994,0.6999085369187599,0.0,-0.03499542684593799,1.2495100320124968,0.0,1.5987963267948966
0.5700000000000001,1700000000.57,1700000000569999872,54.989847562221044,0.7124035492296904,0.0,-0.03562017746148452,1.249492378111052,0.0,1.5992963267948965
0.58,1700000000.58,1700000000580000000,54.98948823673039,0.7248983834397371,0.0,-0.036244919171986856,1.2494744118365195,0.0,1.5997963267948965
0.59,1700000000.59,1700000000589999872,54.9891226638678,0.7373930364251919,0.0,-0.0368696518212596,1.2494561331933902,0.0,1.6002963267948966
0.6,1700000000.6,1700000000600000000,54.98875084372469,0.7498875050623915,0.0,-0.03749437525311958,1.2494375421862345,0.0,1.6007963267948966
0.61,1700000000.61,1700000000609999872,54.98837277639399,0.7623817862277187,0.0,-0.03811908931138593,1.2494186388196995,0.0,1.6012963267948965
0.62,1700000000.62,1700000000620000000,54.987988461970225,0.7748758767976033,0.0,-0.038743793839880164,1.2493994230985113,0.0,1.601796326794897
0.63,1700000000.63,1700000000630000128,54.987597900549474,0.7873697736485228,0.0,-0.039368488682426137,1.249379895027474,0.0,1.6022963267948966
0.64,1700000000.64,1700000000640000000,54.987201092229384,0.7998634736570029,0.0,-0.03999317368285015,1.2493600546114694,0.0,1.6027963267948964
0.65,1700000000.65,1700000000650000128,54.986798037109146,0.8123569736996189,0.0,-0.040617848684980945,1.2493399018554574,0.0,1.6032963267948965
0.66,1700000000.66,1700000000660000000,54.98638873528954,0.8248502706529955,0.0,-0.04124251353264978,1.2493194367644767,0.0,1.6037963267948967
0.67,1700000000.67,1700000000670000128,54.98597318687287,0.8373433613938089,0.0,-0.041867168069690444,1.2492986593436433,0.0,1.6042963267948966
0.68,1700000000.68,1700000000680000000,54.98555139196303,0.8498362427987862,0.0,-0.042491812139939314,1.2492775695981515,0.0,1.6047963267948966
0.6900000000000001,1700000000.69,1700000000690000128,54.985123350665475,0.8623289117447073,0.0,-0.04311644558723536,1.2492561675332738,0.0,1.6052963267948965
0.7000000000000001,1700000000.7,1700000000700000000,54.98468906308722,0.8748213651084049,0.0,-0.04374106825542025,1.2492344531543607,0.0,1.6057963267948967
0.71,1700000000.71,1700000000710000128,54.98424852933682,0.8873135997667656,0.0,-0.04436567998833828,1.249212426466841,0.0,1.6062963267948966
0.72,1700000000.72,1700000000720000000,54.98380174952442,0.8998056125967312,0.0,-0.04499028062983656,1.249190087476221,0.0,1.6067963267948966
0.73,1700000000.73,1700000000730000128,54.983348723761715,0.9122974004752984,0.0,-0.045614870023764915,1.2491674361880858,0.0,1.6072963267948965
0.74,1700000000.74,1700000000740000000,54.982889452161956,0.9247889602795202,0.0,-0.046239448013976,1.2491444726080978,0.0,1.6077963267948967
0.75,1700000000.75,1700000000750000128,54.98242393483997,0.9372802888865068,0.0,-0.046864014444325336,1.2491211967419984,0.0,1.6082963267948966
0.76,1700000000.76,1700000000760000000,54.98195217191213,0.9497713831734259,0.0,-0.04748856915867129,1.249097608595606,0.0,1.6087963267948966
0.77,1700000000.77,1700000000769999872,54.98147416349637,0.9622622400175043,0.0,-0.048113112000875216,1.2490737081748184,0.0,1.6092963267948965
0.78,1700000000.78,1700000000780000000,54.9809899097122,0.9747528562960276,0.0,-0.04873764281480138,1.24904949548561,0.0,1.6097963267948967
0.79,1700000000.79,1700000000789999872,54.980499410680686,0.987243228886342,0.0,-0.0493621614443171,1.2490249705340342,0.0,1.6102963267948966
0.8,1700000000.8,1700000000800000000,54.98000266652445,0.9997333546658542,0.0,-0.04998666773329271,1.2490001333262224,0.0,1.6107963267948966
0.81,1700000000.81,1700000000809999872,54.97949967736767,1.0122232305120331,0.0,-0.05061116152560165,1.2489749838683837,0.0,1.6112963267948965
0.8200000000000001,1700000000.82,1700000000820000000,54.978990443336116,1.0247128533024095,0.0,-0.05123564266512047,1.2489495221668057,0.0,1.6117963267948967
0.8300000000000001,1700000000.83,1700000000829999872,54.978474964557066,1.0372022199145778,0.0,-0.05186011099572889,1.2489237482278535,0.0,1.6122963267948967
0.84,1700000000.84,1700000000840000000,54.97795324115941,1.0496913272261965,0.0,-0.052484566361309826,1.2488976620579708,0.0,1.6127963267948968
0.85,1700000000.85,1700000000849999872,54.97742527327358,1.062180172114989,0.0,-0.05310900860574945,1.248871263663679,0.0,1.6132963267948965
0.86,1700000000.86,1700000000860000000,54.97689106103155,1.074668751458744,0.0,-0.05373343757293721,1.2488445530515777,0.0,1.6137963267948965
0.87,1700000000.87,1700000000869999872,54.9763506045669,1.0871570621353168,0.0,-0.054357853106765844,1.248817530228345,0.0,1.6142963267948967
0.88,1700000000.88,1700000000880000000,54.975803904014725,1.0996451010226298,0.0,-0.05498225505113149,1.248790195200736,0.0,1.6147963267948966
0.89,1700000000.89,1700000000890000128,54.9752509595117,1.112132864998673,0.0,-0.055606643249933654,1.2487625479755846,0.0,1.6152963267948965
0.9,1700000000.9,1700000000900000000,54.97469177119606,1.124620350941506,0.0,-0.0562310175470753,1.2487345885598031,0.0,1.6157963267948967
0.91,1700000000.91,1700000000910000128,54.974126339207615,1.1371075557292571,0.0,-0.05685537778646285,1.2487063169603807,0.0,1.6162963267948967
0.92,1700000000.92,1700000000920000000,54.97355466368771,1.1495944762401251,0.0,-0.05747972381200625,1.2486777331843855,0.0,1.6167963267948968
0.93,1700000000.93,1700000000930000128,54.972976744779274,1.16208110935238,0.0,-0.058104055467619,1.2486488372389635,0.0,1.6172963267948965
0.9400000000000001,1700000000.94,1700000000940000000,54.97239258262678,1.1745674519443636,0.0,-0.058728372597218186,1.248619629131339,0.0,1.6177963267948967
0.9500000000000001,1700000000.95,1700000000950000128,54.97180217737627,1.1870535008944905,0.0,-0.05935267504472452,1.2485901088688134,0.0,1.6182963267948967
0.96,1700000000.96,1700000000960000000,54.97120552917534,1.199539253081248,0.0,-0.05997696265406241,1.2485602764587673,0.0,1.6187963267948966
0.97,1700000000.97,1700000000970000128,54.97060263817317,1.2120247053831987,0.0,-0.06060123526915994,1.2485301319086584,0.0,1.6192963267948965
0.98,1700000000.98,1700000000980000000,54.96999350452046,1.2245098546789794,0.0,-0.06122549273394898,1.2484996752260231,0.0,1.6197963267948967
0.99,1700000000.99,1700000000990000128,54.96937812836951,1.236994697847303,0.0,-0.06184973489236515,1.2484689064184755,0.0,1.6202963267948967
1.0,1700000001.0,1700000001000000000,54.968756509874154,1.2494792317669583,0.0,-0.062473961588347914,1.2484378254937079,0.0,1.6207963267948964
1.01,1700000001.01,1700000001009999872,54.96812864918981,1.2619634533168123,0.0,-0.06309817266584061,1.2484064324594903,0.0,1.6212963267948963
1.02,1700000001.02,1700000001020000000,54.96749454647342,1.2744473593758094,0.0,-0.06372236796879047,1.248374727323671,0.0,1.6217963267948967
1.03,1700000001.03,1700000001029999872,54.966854201883535,1.2869309468229733,0.0,-0.06434654734114867,1.2483427100941766,0.0,1.6222963267948967
1.04,1700000001.04,1700000001040000000,54.96620761558022,1.2994142125374075,0.0,-0.06497071062687038,1.248310380779011,0.0,1.6227963267948966
1.05,1700000001.05,1700000001049999872,54.96555478772514,1.311897153398295,0.0,-0.06559485766991476,1.2482777393862567,0.0,1.6232963267948965
1.06,1700000001.06,1700000001060000000,54.964895718481486,1.324379766284901,0.0,-0.06621898831424505,1.2482447859240742,0.0,1.6237963267948967
1.07,1700000001.07,1700000001069999872,54.96423040801403,1.3368620480765725,0.0,-0.06684310240382862,1.2482115204007016,0.0,1.6242963267948967
1.08,1700000001.08,1700000001080000000,54.96355885648911,1.3493439956527389,0.0,-0.06746719978263695,1.2481779428244555,0.0,1.6247963267948966
1.09,1700000001.09,1700000001089999872,54.96288106407461,1.3618256058929135,0.0,-0.06809128029464567,1.2481440532037302,0.0,1.6252963267948968
1.1,1700000001.1,1700000001100000000,54.96219703093996,1.3743068756766934,0.0,-0.06871534378383468,1.2481098515469982,0.0,1.625796326794897
1.11,1700000001.11,1700000001109999872,54.96150675725619,1.3867878018837618,0.0,-0.0693393900941881,1.2480753378628093,0.0,1.6262963267948967
1.12,1700000001.12,1700000001120000000,54.960810243195866,1.399268381393887,0.0,-0.06996341906969435,1.248040512159793,0.0,1.6267963267948966
1.1300000000000001,1700000001.13,1700000001130000128,54.9601074889331,1.411748611086924,0.0,-0.0705874305543462,1.2480053744466548,0.0,1.6272963267948966
1.1400000000000001,1700000001.14,1700000001140000000,54.959398494643594,1.4242284878428155,0.0,-0.07121142439214077,1.2479699247321798,0.0,1.627796326794897
1.1500000000000001,1700000001.15,1700000001150000128,54.9586832605046,1.4367080085415926,0.0,-0.07183540042707963,1.24793416302523,0.0,1.6282963267948967
1.16,1700000001.16,1700000001160000000,54.957961786694916,1.4491871700633747,0.0,-0.07245935850316873,1.2478980893347458,0.0,1.6287963267948964
1.17,1700000001.17,1700000001170000128,54.957234073394915,1.4616659692883722,0.0,-0.0730832984644186,1.247861703669746,0.0,1.6292963267948966
1.18,1700000001.18,1700000001180000000,54.95650012078653,1.474144403096885,0.0,-0.07370722015484425,1.2478250060393266,0.0,1.6297963267948967
1.19,1700000001.19,1700000001190000128,54.955759929053244,1.4866224683693046,0.0,-0.07433112341846523,1.2477879964526621,0.0,1.6302963267948967
1.2,1700000001.2,1700000001200000000,54.955013498380104,1.4991001619861148,0.0,-0.07495500809930575,1.2477506749190053,0.0,1.6307963267948966
1.21,1700000001.21,1700000001210000128,54.95426082895372,1.5115774808278926,0.0,-0.07557887404139463,1.247713041447686,0.0,1.6312963267948968
1.22,1700000001.22,1700000001220000000,54.95350192096226,1.5240544217753078,0.0,-0.07620272108876538,1.2476750960481129,0.0,1.6317963267948967
1.23,1700000001.23,1700000001230000128,54.95273677459545,1.5365309817091257,0.0,-0.07682654908545627,1.2476368387297723,0.0,1.6322963267948967
1.24,1700000001.24,1700000001240000000,54.95196539004458,1.549007157510206,0.0,-0.0774503578755103,1.2475982695022285,0.0,1.6327963267948966
1.25,1700000001.25,1700000001249999872,54.951187767502475,1.561482946059505,0.0,-0.07807414730297525,1.247559388375124,0.0,1.6332963267948966
1.26,1700000001.26,1700000001260000000,54.950403907163576,1.5739583442380756,0.0,-0.07869791721190378,1.2475201953581787,0.0,1.6337963267948965
1.27,1700000001.27,1700000001269999872,54.94961380922382,1.5864333489270683,0.0,-0.07932166744635342,1.247480690461191,0.0,1.6342963267948967
1.28,1700000001.28,1700000001280000000,54.94881747388075,1.5989079570077323,0.0,-0.07994539785038661,1.2474408736940374,0.0,1.6347963267948964
1.29,1700000001.29,1700000001289999872,54.94801490133344,1.6113821653614153,0.0,-0.08056910826807076,1.2474007450666718,0.0,1.6352963267948966
1.3,1700000001.3,1700000001300000000,54.94720609178253,1.623855970869565,0.0,-0.08119279854347825,1.2473603045891264,0.0,1.6357963267948963
1.31,1700000001.31,1700000001309999872,54.94639104543023,1.636329370413731,0.0,-0.08181646852068654,1.2473195522715113,0.0,1.6362963267948964
1.32,1700000001.32,1700000001320000000,54.94556976248029,1.6488023608755624,0.0,-0.08244011804377811,1.2472784881240147,0.0,1.6367963267948966
1.33,1700000001.33,1700000001329999872,54.94474224313805,1.6612749391368125,0.0,-0.08306374695684063,1.2472371121569026,0.0,1.6372963267948966
1.34,1700000001.34,1700000001340000000,54.94390848761038,1.6737471020793364,0.0,-0.08368735510396683,1.2471954243805188,0.0,1.6377963267948967
1.35,1700000001.35,1700000001349999872,54.94306849610571,1.6862188465850931,0.0,-0.08431094232925465,1.2471534248052856,0.0,1.6382963267948967
1.36,1700000001.36,1700000001360000000,54.94222226883405,1.6986901695361476,0.0,-0.08493450847680738,1.2471111134417026,0.0,1.6387963267948966
1.37,1700000001.37,1700000001369999872,54.94136980600695,1.711161067814668,0.0,-0.0855580533907334,1.2470684903003477,0.0,1.6392963267948966
1.3800000000000001,1700000001.38,1700000001380000000,54.94051110783754,1.7236315383029308,0.0,-0.08618157691514654,1.2470255553918768,0.0,1.6397963267948967
1.3900000000000001,1700000001.39,1700000001390000128,54.93964617454047,1.7361015778833175,0.0,-0.08680507889416587,1.2469823087270235,0.0,1.6402963267948967
1.4000000000000001,1700000001.4,1700000001400000000,54.938775006331994,1.7485711834383193,0.0,-0.08742855917191596,1.2469387503165994,0.0,1.6407963267948968
1.41,1700000001.41,1700000001410000128,54.93789760342989,1.7610403518505335,0.0,-0.08805201759252668,1.2468948801714943,0.0,1.6412963267948966
1.42,1700000001.42,1700000001420000000,54.93701396605351,1.7735090800026696,0.0,-0.08867545400013348,1.2468506983026757,0.0,1.6417963267948965
1.43,1700000001.43,1700000001430000128,54.93612409442378,1.785977364777545,0.0,-0.08929886823887725,1.246806204721189,0.0,1.6422963267948967
