num_valid_samples,mean_error,median_error,p95_error,max_error,final_error,ate_rms,mean_tanees_pos,mean_tanees_vel,scenario,platform,scenario_id
11999,24.890736834241356,26.245139935536763,29.603049626490098,29.615528699556943,15.206878331295972,25.289773265611316,2322.7503567216763,,FGO - Scenario 1: Bearing-only,ROV,1
29701,0.3633948789029189,0.3430213340419755,0.6929042241455553,1.63565140950803,0.130037886800617,0.4154025799272818,3.0091122916642203,,FGO - Scenario 1: Bearing-only,ASV,1
11999,3.5861867425055243,4.0050662369131755,5.430437873722937,5.444957106595333,0.6961600606082111,3.932007096700638,15.883172273599351,,FGO - Scenario 2: Bearing + range,ROV,2
29701,0.362681364983291,0.3419580836519295,0.6933549185677471,1.6518415691216422,0.1324294963125156,0.4151777149694788,3.00850440212305,,FGO - Scenario 2: Bearing + range,ASV,2
11999,3.5702664984395147,3.998746237967241,5.427427465715013,5.44199476083857,0.6657174693861738,3.925096789865788,20.014045837798857,,FGO - Scenario 3: Bearing + range + depth,ROV,3
29701,0.3680594968076208,0.3468716064760477,0.7009183369508802,1.63565140950803,0.1320294614654307,0.4203152691723417,3.0079131780266093,,FGO - Scenario 3: Bearing + range + depth,ASV,3
