time,rov_id,x,y,z,vx,vy,vz,pos_cov_xx,pos_cov_xy,pos_cov_xz,pos_cov_yy,pos_cov_yz,pos_cov_zz
1700000010.000052,1,214.29116888463057,103.91086468617672,5.631667912470824,0.0,0.0,0.0,3.828213891058258,0.3287884157211784,0.015555904142258725,3.3690189436335705,0.007339871454608309,3.1881561051191327
1700000010.000052,1,214.2900740543696,103.91438355896837,5.600683562807656,0.0,0.0,0.0,3.827338876317194,0.330466786923741,0.015555545903052866,3.365794011192848,0.0074636805071727486,3.1854674924901034
1700000010.000052,1,214.2896105888545,103.91569995370553,5.591349834275329,0.0,0.0,0.0,3.8272711516284925,0.3306005375030282,0.015471501786204931,3.3655255614400748,0.007723637795788687,3.1833110167521648
1700000010.000052,1,214.28337260055488,103.9277850075127,5.588728375001287,0.0,0.0,0.0,3.8268163723631075,0.3314750413382629,0.015423516482916583,3.3638403631556115,0.007894478409370177,3.1815902483838716
1700000010.000052,1,214.27960008976925,103.93497732269002,5.589682442735127,0.0,0.0,0.0,3.82647213624942,0.3321354376916877,0.015420865857259448,3.362570599763562,0.007961418219281082,3.1802395062950293
1700000015.00004,1,214.8493073107486,102.85987338040503,6.306054157757512,0.02675919242439131,-0.05095944615812302,0.03552128221052604,4.677848971803174,0.7201679206468629,0.029391911407898992,3.710534570254644,0.015227504631786046,3.300287332991421
1700000015.00004,1,214.85318053370182,102.85365731195353,6.286582766730312,0.02699274655810076,-0.05136459230077079,0.034858139950830744,4.677522139475526,0.7207524530418483,0.029482481610119182,3.7094763675231657,0.015374628237192918,3.2927779315542134
1700000015.00004,1,214.85051480913202,102.85932513858286,6.268876799680437,0.026890457521136914,-0.051150998738671495,0.03426073757050261,4.677223130536843,0.7213012279141799,0.02957333169355703,3.708458930128197,0.01545179552861883,3.286954101989459
1700000015.00004,1,214.8557358157784,102.850735038974,6.2459478011065475,0.027164972652659106,-0.05162634717756698,0.03346035192962752,4.6766911026290146,0.7222714373310849,0.029642782526435752,3.7066819624484575,0.015508336068357102,3.282573579881865
1700000015.00004,1,214.85530738287477,102.85175117521403,6.240046247851128,0.027137313954667473,-0.051566290431567643,0.03324229383812036,4.676365815514277,0.7228634399909951,0.029623242537113542,3.7055988130497797,0.015680478375384117,3.279320229530244
1700000015.00004,1,214.8478717229245,102.84517639531838,6.21509424267356,0.02686430944422612,-0.05200227509527382,0.03234628574576893,4.683218490716424,0.7185919877524712,0.03537810174626205,3.696204598505703,0.018416744018383616,3.2745855358479274
1700000015.00004,1,214.84717597553984,102.84696855321798,6.204937792895519,0.026825081268925768,-0.05190955729165515,0.0319592750556267,4.683189396667395,0.7186439627769228,0.03540516962522637,3.6961075241476413,0.018451760272708707,3.272914572520702
1700000015.00004,1,214.84715914614526,102.84676378220179,6.209458300373,0.026818165832710187,-0.05190546050962025,0.03213902908161766,4.683185318818484,0.7186506627260093,0.03542303343122466,3.696093732198325,0.01847647374029595,3.271785516693571
1700000015.00004,1,214.84786342094213,102.84562145048294,6.206110999970627,0.026852854432757815,-0.051963570352958066,0.0319978072010254,4.683171027486777,0.7186765669700435,0.035435732406601424,3.69604485964632,0.018490651243940195,3.271052995697396
1700000015.00004,1,214.84797543497413,102.84545655345775,6.2049771761485415,0.026850464432299437,-0.05195657860817838,0.031947040655605996,4.6831677449442655,0.7186820518408908,0.03544517550631954,3.6960345786878257,0.01849654120194218,3.270602681429016
1700000015.00004,1,214.84695672376876,102.84663022828599,6.203243305416901,0.026796210806889393,-0.05188391984889145,0.03186434092401693,4.683093957186767,0.7188072913793403,0.03591986112461464,3.69569750402124,0.018812205739451342,3.2702895953790874
1700000015.00004,1,214.84715233321995,102.84619303714993,6.2048890633623355,0.026812728610501244,-0.051919312198160456,0.031951641677328974,4.683092041128861,0.7188107489194665,0.035922402885673554,3.6956908450683352,0.01881496318830712,3.2701529879092686
1700000015.00004,1,214.8463819164449,102.84758274256524,6.206145829991152,0.026788041558538245,-0.05187689759933472,0.032029143441699166,4.683079722516544,0.7188339429198223,0.035924515499200116,3.695646972265701,0.01881442238825398,3.270092882434638
1700000015.00004,1,214.84664647125282,102.84699352485684,6.207749542586422,0.026794301513153384,-0.051895394897697816,0.03216310943108341,4.683068866202489,0.7188541438660377,0.03592656705326848,3.6956093119305726,0.018811742216279247,3.2700737629668946
1700000015.00004,1,214.84739470040893,102.84556903355954,6.207924501069182,0.02681811552097227,-0.051942115087896444,0.03220354166007268,4.683065123398922,0.7188611346312774,0.035927302447142505,3.6955962396579265,0.01881054615525073,3.270071465324134
1700000029.999398,1,217.8638283438941,97.6276211529229,8.830180468797046,0.12220923394439276,-0.21515754634587816,0.12413657299417194,22.352099486413614,8.375491221544728,0.4121566025453289,13.292007264441269,0.2448216177963032,7.282528952637947
