time,rov_id,message_index,position_x,position_y,position_z,t_sent_us,t_received_us,t_sent_sec,t_received_sec,tof_sec,azimuth_deg,elevation_deg
1700000000.010363,1,0,0.0,0.0,12.155601385914643,1700000000000443,1700000000010363,1700000000.000443,1700000000.0103629,0.009919881820678711,63.28773166363831,44.6710559638658
1700000010.010434,1,0,0.0,0.0,12.767570797823685,1700000010000474,1700000010010434,1700000010.000474,1700000010.010434,0.009959936141967773,206.0051583677863,46.59153437734018
1700000020.016343,1,0,0.0,0.0,13.658318081010728,1700000019999808,1700000020016343,1700000019.9998078,1700000020.0163429,0.016535043716430664,189.58241546381785,29.723187454149485
1700000030.0216274,1,0,0.0,0.0,14.190847039320122,1700000029999978,1700000030021628,1700000029.9999778,1700000030.021628,0.021650075912475586,152.5134914296251,23.42118617281444
1700000040.029314,1,0,0.0,0.0,14.89870789293257,1700000039999856,1700000040029314,1700000039.999856,1700000040.029314,0.029458045959472656,127.99373326495126,17.986115397650487
1700000050.030127,1,0,0.0,0.0,15.192416028401787,1700000049999769,1700000050030127,1700000049.999769,1700000050.0301268,0.030357837677001953,113.38210990738324,17.090368239548834
1700000060.020968,1,0,0.0,0.0,15.855561375401743,1700000060000080,1700000060020968,1700000060.0000799,1700000060.020968,0.020888090133666992,97.75513992959388,28.394380157500173
1700000070.013239,1,0,0.0,0.0,16.55032854347308,1700000069999873,1700000070013239,1700000069.999873,1700000070.013239,0.013365983963012695,50.492692869887584,50.72940789941151
1700000080.0162425,1,0,0.0,0.0,17.06113739818035,1700000080000122,1700000080016242,1700000080.0001218,1700000080.016242,0.016120195388793945,13.749519445187266,40.61959375150896
1700000090.0214884,1,0,0.0,0.0,17.647280587556377,1700000089999135,1700000090021488,1700000089.999135,1700000090.021488,0.022352933883666992,36.38612386909275,30.629145520921508
1700000100.0294135,1,0,0.0,0.0,17.739549900021558,1700000100000147,1700000100029414,1700000100.0001469,1700000100.029414,0.029267072677612305,63.50919296597743,21.637689834140573
1700000110.0326347,1,0,0.0,0.0,18.03645620078403,1700000109999785,1700000110032635,1700000109.999785,1700000110.032635,0.032850027084350586,77.16848852629634,18.463963578362133
1700000120.026286,1,0,0.0,0.0,18.23281670396118,1700000120000375,1700000120026286,1700000120.000375,1700000120.026286,0.02591085433959961,98.72374335205123,25.69508988584134
1700000130.021163,1,0,0.0,0.0,18.579257475158276,1700000129999348,1700000130021163,1700000129.999348,1700000130.021163,0.021815061569213867,144.91215872801004,32.99948704137836
1700000140.027332,1,0,0.0,0.0,18.026125290786172,1700000140000008,1700000140027332,1700000140.0000079,1700000140.0273318,0.02732396125793457,175.2432220080315,23.40667169158908
1700000150.0340867,1,0,0.0,0.0,17.671573390063866,1700000150000225,1700000150034087,1700000150.0002248,1700000150.034087,0.03386211395263672,171.18789061124414,18.30680708920841
1700000160.0395262,1,0,0.0,0.0,17.428029815814117,1700000160000333,1700000160039526,1700000160.0003328,1700000160.039526,0.039193153381347656,152.29119252352288,15.372717081197374
1700000170.041245,1,0,0.0,0.0,17.304441107342846,1700000169999676,1700000170041245,1700000169.999676,1700000170.041245,0.04156899452209473,141.55833550398026,16.07699391052602
1700000180.0335176,1,0,0.0,0.0,16.95241876355543,1700000180000285,1700000180033518,1700000180.000285,1700000180.0335178,0.033232927322387695,140.92915485976226,19.370639849979504
1700000190.0194674,1,0,0.0,0.0,17.05878158690842,1700000190000604,1700000190019467,1700000190.000604,1700000190.0194669,0.01886296272277832,151.07707626111676,31.434181480953203
1700000200.0121303,1,0,0.0,0.0,15.634390462892606,1700000199999824,1700000200012130,1700000199.9998238,1700000200.01213,0.01230621337890625,216.0177015006037,55.13863849953619
1700000210.0106103,1,0,0.0,0.0,15.193465595207787,1700000210000035,1700000210010610,1700000210.0000348,1700000210.0106099,0.010575056076049805,280.1465143823383,61.08295710260424
1700000220.0110593,1,0,0.0,0.0,14.747518264534458,1700000220000126,1700000220011059,1700000220.000126,1700000220.0110588,0.01093292236328125,53.843566391483705,57.79376016116439
1700000230.0173109,1,0,0.0,0.0,14.397788348075807,1700000229999660,1700000230017311,1700000229.99966,1700000230.0173109,0.017650842666625977,85.92038063693136,29.87688447343212
1700000240.0172274,1,0,0.0,0.0,13.175500735326068,1700000240000225,1700000240017228,1700000240.0002248,1700000240.017228,0.01700305938720703,107.97778450741635,27.66161104264639
1700000250.0158477,1,0,0.0,0.0,12.669814952036967,1700000249999755,1700000250015848,1700000249.999755,1700000250.015848,0.016093015670776367,168.1063350269261,29.35511923327858
1700000260.0256789,1,0,0.0,0.0,12.197622569775447,1700000260000203,1700000260025679,1700000260.000203,1700000260.0256789,0.02547597885131836,205.27694440016236,16.795834752275553
1700000270.0328066,1,0,0.0,0.0,11.423102985202126,1700000269999991,1700000270032807,1700000269.999991,1700000270.0328069,0.03281593322753906,205.87731701642298,11.453483866699191
1700000280.0325108,1,0,0.0,0.0,10.476698618091278,1700000279999669,1700000280032511,1700000279.9996688,1700000280.032511,0.032842159271240234,190.13567049191445,12.394588131736457
1700000290.0301373,1,0,0.0,0.0,10.101074849652589,1700000289999865,1700000290030137,1700000289.9998648,1700000290.0301368,0.03027200698852539,166.46005889565475,12.975715660648184
