time,lat_deg,lon_deg,h_m,ned_n,ned_e,ned_d,h_acc_m,v_acc_m
1700000003.0,60.391620944566654,5.322154285420928,3.3183751199394464,0.0,0.0,-0.0,1.5,2.0
1700000004.0,60.3916537203367,5.32224662261256,-1.44055734295398,3.651843555783583,5.091392392415175,4.758935533668854,1.5,2.0
1700000005.0,60.39163917128759,5.322265306796929,0.3025499954819679,2.0308067636348124,6.121626458663447,3.0158283775252768,1.5,2.0
1700000006.0,60.39166454815867,5.322306717254003,-2.1677025025710464,4.858273088089359,8.404954879316616,5.4860849960835605,1.5,2.0
1700000007.0,60.39167317407596,5.322371074492759,-1.2308981465175748,5.819373927618171,11.953554026880434,4.549287091611909,1.5,2.0
1700000008.0,60.391682441315,5.322330050711141,-1.8577051162719727,6.85191206326583,9.691535979608064,5.1760912574428355,1.5,2.0
1700000009.0,60.3916702154444,5.322433894778388,-2.640953253954649,5.489738295873816,15.417405954795798,5.959349320648506,1.5,2.0
1700000010.0,60.39170688071985,5.3224434056673084,3.174557203426957,9.574952916685122,15.94182430575217,0.14384497000880536,1.5,2.0
1700000011.0,60.39170333688594,5.322425865036973,-2.399942560121417,9.180090448506176,14.974638664290548,5.718341815432563,1.5,2.0
1700000012.0,60.39170453639035,5.3224299352782145,3.2789188232272863,9.313747098706488,15.199080788606894,0.039481154802655904,1.5,2.0
1700000013.0,60.391704740033134,5.322452489223285,0.10306672938168049,9.336437539570454,16.442676403762192,3.215336357952941,1.5,2.0
1700000014.0,60.39176074922451,5.322474944107414,0.1959902849048376,15.576927232440276,17.680787427846166,3.1224282839150543,1.5,2.0
1700000015.0,60.39174877476087,5.3224518353461425,-0.5212795864790678,14.242737816695403,16.406598480348546,3.8396916414167266,1.5,2.0
1700000016.0,60.39176157362294,5.322456860153393,-0.6689681308344007,15.668773979164124,16.683654278947404,3.9873842446547356,1.5,2.0
1700000017.0,60.39178887568524,5.3224811558270515,0.6427961681038141,18.71075018879413,18.023280922207324,2.675631772061095,1.5,2.0
1700000018.0,60.39180555300381,5.322438702691376,0.9403319796547294,20.56890930154228,15.682453613311207,2.3780955082408965,1.5,2.0
1700000019.0,60.39180471843372,5.322473502585385,2.2279015127569437,20.475935307058176,17.60128526097677,1.090530669805732,1.5,2.0
1700000020.0,60.39179773440084,5.3224246960275625,0.7579035237431526,19.69776505970463,14.91014481673675,2.560519369028736,1.5,2.0
1700000021.0,60.39180563233717,5.322423398889819,4.109793337993324,20.577755211546123,14.838626246402562,-0.7913678360644205,1.5,2.0
1700000022.0,60.39181465782633,5.322382118116551,2.7475418094545603,21.5833529287497,12.562442805979302,0.5708821376754702,1.5,2.0
1700000023.0,60.3918050290965,5.322347331159903,-0.17859060876071453,20.51051425910988,10.64432676969275,3.4970075370698526,1.5,2.0
1700000024.0,60.39182064530847,5.32232480108943,1.8582362495362759,22.25045935967344,9.402042301377039,1.4601845588472369,1.5,2.0
1700000025.0,60.39181739959075,5.322330941040032,1.4400537060573697,21.888824348381537,9.740592608691664,1.8783663598691458,1.5,2.0
