time,lat_deg,lon_deg,h_m,ned_n,ned_e,ned_d,h_acc_m,v_acc_m
1700000018.0,60.39156680767328,5.322088401834714,0.9401254458352923,0.0,0.0,-0.0,1.5,2.0
1700000019.0,60.39157116810808,5.32213456890939,2.227692441083491,0.485835979898942,2.54562022578517,-1.2875664684655983,1.5,2.0
1700000020.0,60.39157005150977,5.322100418486076,0.7577084871008992,0.36142484785074364,0.6625896265495261,0.1824170044347807,1.5,2.0
1700000021.0,60.39158446634193,5.322116877205586,4.109598634764552,1.9675113293794115,1.5701118668455516,-3.1694726917176768,1.5,2.0
1700000022.0,60.39160063758338,5.322096288271883,2.747353228740394,3.7692935736481497,0.43485227516325753,-1.8072266547875038,1.5,2.0
1700000023.0,60.39159877468647,5.322084959808907,-0.17876629345119,3.561729875172326,-0.18979066485737278,1.1188927378011297,1.5,2.0
1700000024.0,60.39162277741215,5.322088461251537,1.858062001876533,6.236089481078585,0.0032761967382234913,-0.917933508365202,1.5,2.0
1700000025.0,60.39162854465666,5.322122981439769,1.4398858146741986,6.878669856734048,1.9066916614817577,-0.49975637705215625,1.5,2.0
1700000026.0,60.39164335651881,5.32211238589628,2.2218220802024007,8.528992657646107,1.3224614609228493,-1.2816907989160256,1.5,2.0
1700000027.0,60.391667419441426,5.32210655652773,0.19085312355309725,11.21005471295689,1.001033809180869,0.7492822444092839,1.5,2.0
1700000028.0,60.39166415717675,5.322064761582066,-0.03470865078270435,10.846576415896122,-1.303502828029095,0.9748434461776601,1.5,2.0
1700000029.0,60.39168336291652,5.322045218464495,-2.1702495962381363,12.986455348291084,-2.3810910186497773,3.110388696206265,1.5,2.0
1700000030.0,60.39172044158468,5.322090094576115,-0.9464540062472224,17.117721548648028,0.09333610408984971,1.8866024035032325,1.5,2.0
1700000031.0,60.391709840471265,5.322068778089553,-2.5844726664945483,15.936553202060832,-1.0820341754769953,3.524618097345753,1.5,2.0
1700000032.0,60.39173850680335,5.322129640520777,-1.8059808881953359,19.13052651765222,2.27385922114525,2.7461354043794035,1.5,2.0
1700000033.0,60.39173534778083,5.322023539046416,-2.8314827298745513,18.778549775021563,-3.576467971881817,3.7716367964231248,1.5,2.0
1700000034.0,60.39173167371959,5.322092834700938,2.7094305818900466,18.369204217331003,0.2444239604584062,-1.7692787014470346,1.5,2.0
1700000035.0,60.39176237905021,5.322143741756235,-1.9945249762386084,21.790345636557447,3.0513846835838994,2.9346883414797604,1.5,2.0
1700000036.0,60.391775382222896,5.322154048719989,-0.24436918832361698,23.239151527003166,3.6196993004396765,1.1845379589397407,1.5,2.0
1700000037.0,60.39180594281771,5.322121214718254,2.3006161004304886,26.644189131660006,1.8092664575460142,-1.3604347938654282,1.5,2.0
1700000038.0,60.39181972649482,5.32216723165376,1.344873876310885,28.17995003654725,4.3465873909099155,-0.40468475453830877,1.5,2.0
1700000039.0,60.39183112173492,5.3221523892326,-2.1758422376587987,29.44957852520285,3.5281898382954777,3.116036584995502,1.5,2.0
1700000040.0,60.391838958907265,5.322077040560584,-0.1661223666742444,30.322795397819203,-0.626447335281727,1.106319861027707,1.5,2.0
1700000041.0,60.3918497149474,5.322088444334776,2.014929830096662,31.521232466713602,0.0023434036662228763,-1.0747265623015512,1.5,2.0
1700000042.0,60.391863136631706,5.322115359404092,3.783463651314378,33.01667197259022,1.4864085860915097,-2.8432526512935308,1.5,2.0
1700000043.0,60.39187273768235,5.322098968729771,-0.988403582945466,34.08638557552792,0.582645526202779,1.9286200592956657,1.5,2.0
1700000044.0,60.39190554046939,5.322117614210685,-0.20134769659489393,37.741241128948666,1.6107328645810979,1.1415849098359434,1.5,2.0
1700000045.0,60.391909395104136,5.322082202916888,0.381823449395597,38.170723508640876,-0.3418003522168882,0.5584161240497583,1.5,2.0
1700000046.0,60.39192107717503,5.322103763387318,-2.0559243764728308,39.47231234132103,0.8470156173504244,2.9961719112969867,1.5,2.0
1700000047.0,60.39192857168861,5.322119329658163,4.043532820418477,40.30738151126865,1.7053203614425398,-3.103279895034163,1.5,2.0
1700000048.0,60.391987278892465,5.322113448482124,-0.5331152593716979,46.8484453389703,1.3810364129429988,1.4734127569562645,1.5,2.0
1700000049.0,60.39195050705928,5.32210808983428,-0.7213101061061025,42.75136627490184,1.0855694062246912,1.6615787946052194,1.5,2.0
1700000050.0,60.39194549290056,5.322114510572579,1.3682309370487928,42.192708109187144,1.4396008383107968,-0.4279658961175272,1.5,2.0
1700000051.0,60.391958047714276,5.322057284903584,1.9077152581885457,43.591556029953146,-1.7157453915805414,-0.9674407490489827,1.5,2.0
1700000052.0,60.392006327382916,5.322162473289626,-0.6368134301155806,48.970808697381656,4.084191920222787,1.577128009689119,1.5,2.0
1700000053.0,60.39204572546892,5.322128107230774,-0.4158882237970829,53.360500814076524,2.1892950215811915,1.356237057700632,1.5,2.0
1700000054.0,60.3920382172692,5.322053297276381,0.8553953664377332,52.52395564957753,-1.935612672083078,0.0849464479492994,1.5,2.0
1700000055.0,60.39202362386514,5.32211380715348,-2.8160132551565766,50.897944537874984,1.400810978660846,3.7563417592354895,1.5,2.0
1700000056.0,60.392055377928706,5.322123158473525,1.0296715339645743,54.435979602658215,1.916427955568765,-0.08931370760021551,1.5,2.0
1700000057.0,60.39210180348438,5.322123369946112,-0.8378724539652467,59.60864849848855,1.928084923051503,1.7782764882321587,1.5,2.0
1700000058.0,60.39209439432272,5.322107469608605,4.035670772194862,58.78317229597335,1.0513671530931594,-3.09527459696249,1.5,2.0
1700000059.0,60.39210702334408,5.322114558685489,1.4089199444279075,60.19026053876367,1.4422465854208397,-0.4685105814232102,1.5,2.0
1700000060.0,60.39209404612669,5.3221301660733475,-0.7771471636369824,58.7443329338565,2.3028129210241812,1.7175433099005062,1.5,2.0
1700000061.0,60.39212374150226,5.3221566638791895,1.352071214467287,62.05298127851907,3.76385712712523,-0.4116430721816151,1.5,2.0
1700000062.0,60.39212596551835,5.322144363544204,-1.254090502858162,62.300752741369095,3.0856353705780903,2.1945206945633444,1.5,2.0
1700000063.0,60.39215949328646,5.3220904028487634,0.9794614249840379,66.03640171073427,0.11033250409093398,-0.038994425378032105,1.5,2.0
1700000064.0,60.392149017282314,5.322115573340452,-3.036221836693585,64.86913590319176,1.498190053656408,3.9766770430718665,1.5,2.0
1700000065.0,60.392161608178036,5.322126135675428,-0.9176675342023373,66.2720215955562,2.0805789085227673,1.858137311338698,1.5,2.0
1700000066.0,60.3921930001263,5.32212403007194,2.04108258895576,69.76971053730244,1.9644785811306957,-1.10057557931815,1.5,2.0
1700000067.0,60.39221233114859,5.32210879321805,-0.6356091881170869,71.92352247046563,1.1243440149782904,1.5761398976524106,1.5,2.0
