t_sim_sec,t_ros_sec,t_ros_ns,x_n,y_e,z_d,vx_n,vy_e,vz_d,yaw_rad
0.6,1700000000.6,1700000000600000000,0.9000038284184807,0.0,0.0,1.5,0.0,0.0,0.0
0.61,1700000000.61,1700000000609999872,0.9150038922254554,0.0,0.0,1.5,0.0,0.0,0.0
0.62,1700000000.62,1700000000620000000,0.93000395603243,0.0,0.0,1.5,0.0,0.0,0.0
0.63,1700000000.63,1700000000630000128,0.9450040198394047,0.0,0.0,1.5,0.0,0.0,0.0
0.64,1700000000.64,1700000000640000000,0.9600040836463793,0.0,0.0,1.5,0.0,0.0,0.0
0.65,1700000000.65,1700000000650000128,0.975004147453354,0.0,0.0,1.5,0.0,0.0,0.0
0.66,1700000000.66,1700000000660000000,0.9900042112603288,0.0,0.0,1.5,0.0,0.0,0.0
0.67,1700000000.67,1700000000670000128,1.0050042750673034,0.0,0.0,1.5,0.0,0.0,0.0
0.68,1700000000.68,1700000000680000000,1.020004338874278,0.0,0.0,1.5,0.0,0.0,0.0
0.6900000000000001,1700000000.69,1700000000690000128,1.0350044026812528,0.0,0.0,1.5,0.0,0.0,0.0
0.7000000000000001,1700000000.7,1700000000700000000,1.0500044664882273,0.0,0.0,1.5,0.0,0.0,0.0
0.71,1700000000.71,1700000000710000128,1.0650045302952023,0.0,0.0,1.5,0.0,0.0,0.0
0.72,1700000000.72,1700000000720000000,1.0800045941021768,0.0,0.0,1.5,0.0,0.0,0.0
0.73,1700000000.73,1700000000730000128,1.0950046579091515,0.0,0.0,1.5,0.0,0.0,0.0
0.74,1700000000.74,1700000000740000000,1.110004721716126,0.0,0.0,1.5,0.0,0.0,0.0
0.75,1700000000.75,1700000000750000128,1.125004785523101,0.0,0.0,1.5,0.0,0.0,0.0
0.76,1700000000.76,1700000000760000000,1.1400048493300756,0.0,0.0,1.5,0.0,0.0,0.0
0.77,1700000000.77,1700000000769999872,1.1550049131370501,0.0,0.0,1.5,0.0,0.0,0.0
0.78,1700000000.78,1700000000780000000,1.1700049769440248,0.0,0.0,1.5,0.0,0.0,0.0
0.79,1700000000.79,1700000000789999872,1.1850050407509995,0.0,0.0,1.5,0.0,0.0,0.0
0.8,1700000000.8,1700000000800000000,1.2000051045579743,0.0,0.0,1.5,0.0,0.0,0.0
0.81,1700000000.81,1700000000809999872,1.215005168364949,0.0,0.0,1.5,0.0,0.0,0.0
0.8200000000000001,1700000000.82,1700000000820000000,1.2300052321719235,0.0,0.0,1.5,0.0,0.0,0.0
0.8300000000000001,1700000000.83,1700000000829999872,1.2450052959788982,0.0,0.0,1.5,0.0,0.0,0.0
0.84,1700000000.84,1700000000840000000,1.260005359785873,0.0,0.0,1.5,0.0,0.0,0.0
0.85,1700000000.85,1700000000849999872,1.2750054235928476,0.0,0.0,1.5,0.0,0.0,0.0
0.86,1700000000.86,1700000000860000000,1.2900054873998223,0.0,0.0,1.5,0.0,0.0,0.0
0.87,1700000000.87,1700000000869999872,1.3050055512067968,0.0,0.0,1.5,0.0,0.0,0.0
0.88,1700000000.88,1700000000880000000,1.3200056150137718,0.0,0.0,1.5,0.0,0.0,0.0
0.89,1700000000.89,1700000000890000128,1.3350056788207463,0.0,0.0,1.5,0.0,0.0,0.0
0.9,1700000000.9,1700000000900000000,1.350005742627721,0.0,0.0,1.5,0.0,0.0,0.0
0.91,1700000000.91,1700000000910000128,1.3650058064346955,0.0,0.0,1.5,0.0,0.0,0.0
0.92,1700000000.92,1700000000920000000,1.3800058702416704,0.0,0.0,1.5,0.0,0.0,0.0
0.93,1700000000.93,1700000000930000128,1.3950059340486451,0.0,0.0,1.5,0.0,0.0,0.0
0.9400000000000001,1700000000.94,1700000000940000000,1.4100059978556196,0.0,0.0,1.5,0.0,0.0,0.0
0.9500000000000001,1700000000.95,1700000000950000128,1.4250060616625944,0.0,0.0,1.5,0.0,0.0,0.0
0.96,1700000000.96,1700000000960000000,1.4400061254695689,0.0,0.0,1.5,0.0,0.0,0.0
0.97,1700000000.97,1700000000970000128,1.4550061892765438,0.0,0.0,1.5,0.0,0.0,0.0
0.98,1700000000.98,1700000000980000000,1.4700062530835185,0.0,0.0,1.5,0.0,0.0,0.0
0.99,1700000000.99,1700000000990000128,1.485006316890493,0.0,0.0,1.5,0.0,0.0,0.0
1.0,1700000001.0,1700000001000000000,1.5000063806974677,0.0,0.0,1.5,0.0,0.0,0.0
1.01,1700000001.01,1700000001009999872,1.5150064445044424,0.0,0.0,1.5,0.0,0.0,0.0
1.02,1700000001.02,1700000001020000000,1.5300065083114172,0.0,0.0,1.5,0.0,0.0,0.0
1.03,1700000001.03,1700000001029999872,1.5450065721183919,0.0,0.0,1.5,0.0,0.0,0.0
1.04,1700000001.04,1700000001040000000,1.5600066359253664,0.0,0.0,1.5,0.0,0.0,0.0
1.05,1700000001.05,1700000001049999872,1.5750066997323413,0.0,0.0,1.5,0.0,0.0,0.0
1.06,1700000001.06,1700000001060000000,1.5900067635393158,0.0,0.0,1.5,0.0,0.0,0.0
1.07,1700000001.07,1700000001069999872,1.6050068273462905,0.0,0.0,1.5,0.0,0.0,0.0
1.08,1700000001.08,1700000001080000000,1.620006891153265,0.0,0.0,1.5,0.0,0.0,0.0
1.09,1700000001.09,1700000001089999872,1.63500695496024,0.0,0.0,1.5,0.0,0.0,0.0
1.1,1700000001.1,1700000001100000000,1.6500070187672147,0.0,0.0,1.5,0.0,0.0,0.0
1.11,1700000001.11,1700000001109999872,1.6650070825741892,0.0,0.0,1.5,0.0,0.0,0.0
1.12,1700000001.12,1700000001120000000,1.6800071463811639,0.0,0.0,1.5,0.0,0.0,0.0
1.1300000000000001,1700000001.13,1700000001130000128,1.6950072101881384,0.0,0.0,1.5,0.0,0.0,0.0
1.1400000000000001,1700000001.14,1700000001140000000,1.7100072739951133,0.0,0.0,1.5,0.0,0.0,0.0
1.1500000000000001,1700000001.15,1700000001150000128,1.725007337802088,0.0,0.0,1.5,0.0,0.0,0.0
1.16,1700000001.16,1700000001160000000,1.7400074016090625,0.0,0.0,1.5,0.0,0.0,0.0
1.17,1700000001.17,1700000001170000128,1.7550074654160372,0.0,0.0,1.5,0.0,0.0,0.0
1.18,1700000001.18,1700000001180000000,1.770007529223012,0.0,0.0,1.5,0.0,0.0,0.0
1.19,1700000001.19,1700000001190000128,1.7850075930299867,0.0,0.0,1.5,0.0,0.0,0.0
1.2,1700000001.2,1700000001200000000,1.8000076568369614,0.0,0.0,1.5,0.0,0.0,0.0
1.21,1700000001.21,1700000001210000128,1.815007720643936,0.0,0.0,1.5,0.0,0.0,0.0
1.22,1700000001.22,1700000001220000000,1.8300077844509108,0.0,0.0,1.5,0.0,0.0,0.0
1.23,1700000001.23,1700000001230000128,1.8450078482578853,0.0,0.0,1.5,0.0,0.0,0.0
1.24,1700000001.24,1700000001240000000,1.86000791206486,0.0,0.0,1.5,0.0,0.0,0.0
1.25,1700000001.25,1700000001249999872,1.8750079758718345,0.0,0.0,1.5,0.0,0.0,0.0
1.26,1700000001.26,1700000001260000000,1.8900080396788095,0.0,0.0,1.5,0.0,0.0,0.0
1.27,1700000001.27,1700000001269999872,1.9050081034857842,0.0,0.0,1.5,0.0,0.0,0.0
1.28,1700000001.28,1700000001280000000,1.9200081672927587,0.0,0.0,1.5,0.0,0.0,0.0
1.29,1700000001.29,1700000001289999872,1.9350082310997334,0.0,0.0,1.5,0.0,0.0,0.0
1.3,1700000001.3,1700000001300000000,1.950008294906708,0.0,0.0,1.5,0.0,0.0,0.0
1.31,1700000001.31,1700000001309999872,1.9650083587136828,0.0,0.0,1.5,0.0,0.0,0.0
1.32,1700000001.32,1700000001320000000,1.9800084225206576,0.0,0.0,1.5,0.0,0.0,0.0
1.33,1700000001.33,1700000001329999872,1.995008486327632,0.0,0.0,1.5,0.0,0.0,0.0
1.34,1700000001.34,1700000001340000000,2.0100085501346068,0.0,0.0,1.5,0.0,0.0,0.0
1.35,1700000001.35,1700000001349999872,2.0250086139415817,0.0,0.0,1.5,0.0,0.0,0.0
1.36,1700000001.36,1700000001360000000,2.040008677748556,0.0,0.0,1.5,0.0,0.0,0.0
1.37,1700000001.37,1700000001369999872,2.0550087415555307,0.0,0.0,1.5,0.0,0.0,0.0
1.3800000000000001,1700000001.38,1700000001380000000,2.0700088053625056,0.0,0.0,1.5,0.0,0.0,0.0
1.3900000000000001,1700000001.39,1700000001390000128,2.08500886916948,0.0,0.0,1.5,0.0,0.0,0.0
1.4000000000000001,1700000001.4,1700000001400000000,2.1000089329764546,0.0,0.0,1.5,0.0,0.0,0.0
1.41,1700000001.41,1700000001410000128,2.1150089967834296,0.0,0.0,1.5,0.0,0.0,0.0
1.42,1700000001.42,1700000001420000000,2.1300090605904045,0.0,0.0,1.5,0.0,0.0,0.0
1.43,1700000001.43,1700000001430000128,2.145009124397379,0.0,0.0,1.5,0.0,0.0,0.0
1.44,1700000001.44,1700000001440000000,2.1600091882043535,0.0,0.0,1.5,0.0,0.0,0.0
1.45,1700000001.45,1700000001450000128,2.1750092520113284,0.0,0.0,1.5,0.0,0.0,0.0
1.46,1700000001.46,1700000001460000000,2.190009315818303,0.0,0.0,1.5,0.0,0.0,0.0
1.47,1700000001.47,1700000001470000128,2.2050093796252774,0.0,0.0,1.5,0.0,0.0,0.0
1.48,1700000001.48,1700000001480000000,2.220009443432252,0.0,0.0,1.5,0.0,0.0,0.0
1.49,1700000001.49,1700000001490000128,2.235009507239227,0.0,0.0,1.5,0.0,0.0,0.0
1.5,1700000001.5,1700000001500000000,2.250009571046202,0.0,0.0,1.5,0.0,0.0,0.0
1.51,1700000001.51,1700000001509999872,2.2650096348531763,0.0,0.0,1.5,0.0,0.0,0.0
1.52,1700000001.52,1700000001520000000,2.2800096986601512,0.0,0.0,1.5,0.0,0.0,0.0
1.53,1700000001.53,1700000001529999872,2.2950097624671257,0.0,0.0,1.5,0.0,0.0,0.0
1.54,1700000001.54,1700000001540000000,2.3100098262741002,0.0,0.0,1.5,0.0,0.0,0.0
